gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO	degree	betweenness	rank
FBgn0000003	1903.9180158774	1.58796985979209	0.2135313108047	7.43670730914249	1.03225917006983e-13	4.11006543066724e-11	1	7SLRNA:CR32864	Signal recognition particle 7SL RNA CR32864	FBgn0000003	NR_001992	3771948	GO:0005786|GO:0006614	1270	331.509279517881	1124.5
FBgn0000044	35923.2838907369	0.528078848211316	0.14896939871942	3.54488138336344	0.000392789804700553	0.00664360436607181	1	Act57B	Actin 57B	FBgn0000044	NM_079076	37368	GO:0000281|GO:0005886|GO:0050807	1128	279.744519491217	897.25
FBgn0000045	3826.35150656988	0.514223318179785	0.18260691054601	2.81601236580923	0.00486237950974147	0.0373280744854149	1	Act79B	Actin 79B	FBgn0000045	NM_001275271	40444	GO:0000281	1413	526.681456585403	1455.25
FBgn0000046	4319.88134136862	0.399872878273512	0.137262472074909	2.91319886804374	0.00357746692397948	0.0302024313604961	1	Act87E	Actin 87E	FBgn0000046	NM_001300385	48632	GO:0000281|GO:0016573|GO:0035267|GO:0043486	1260	349.538490452618	1131.75
FBgn0000054	1719.20873617613	-0.171653634035582	0.0600702883719838	-2.85754636256482	0.00426930260045397	0.0341451497882127	-1	NA	NA	FBgn0000054	NA	NA	NA	1136	402.526227688274	1038.25
FBgn0000057	1187.91104585769	-0.232724177358579	0.0755410463616237	-3.08076454546977	0.0020646984922433	0.0206330162795944	-1	adp	adipose	FBgn0000057	NM_001299634	37073	GO:0003674|GO:0005737|GO:0005975|GO:0006629|GO:0006629|GO:0009269|GO:0010883|GO:0010891|GO:0045717|GO:0080008	1455	553.972204610796	1524.75
FBgn0000092	479.922570581986	1.08029967205083	0.253461771426639	4.26217991758771	2.02442346769362e-05	0.000887613289466143	1	dyw	daywake	FBgn0000092	NM_130660	31252	GO:0005615|GO:0005615|GO:0007623|GO:0010841|GO:0032504	607	40.303023711061	93
FBgn0000100	37747.00166535	-0.314319007948339	0.0988408548847523	-3.18005149100373	0.00147248885180058	0.0163718534073405	-1	RpLP0	Ribosomal protein LP0	FBgn0000100	NM_001275273	40451	GO:0000027|GO:0002181|GO:0002181|GO:0002181|GO:0003735|GO:0003735|GO:0003735|GO:0003735|GO:0022625|GO:0022625|GO:0022626|GO:0022626|GO:0052720|GO:0070180	1231	343.118270124588	1086.75
FBgn0000121	399335.307401177	-0.323524149224005	0.0971407840358299	-3.3304667286263	0.000867005242729076	0.0115799829881095	-1	Arr2	Arrestin 2	FBgn0000121	NM_079252	38993	GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005515|GO:0005737|GO:0005737|GO:0007605|GO:0007608|GO:0016028|GO:0016029|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0016062|GO:0045494	856	110.357432168184	362.5
FBgn0000221	246.719325695656	-0.535598427977019	0.151414618693041	-3.53729667980622	0.000404245297668611	0.00678284934539178	-1	brn	brainiac	FBgn0000221	NM_057553	31358	GO:0000139|GO:0001744|GO:0005795|GO:0006486|GO:0006688|GO:0007293|GO:0007298|GO:0007299|GO:0008194|GO:0016333|GO:0016757|GO:0030707|GO:0042248|GO:0046981	601	39.5061960849724	90
FBgn0000250	7162.31910886118	0.325150842317963	0.105568545819441	3.07999735900581	0.00207002430499868	0.0206330162795944	1	cact	cactus	FBgn0000250	NM_001273567	34969	GO:0002789|GO:0005515|GO:0005737|GO:0005829|GO:0005829|GO:0007253|GO:0007253|GO:0007399|GO:0009950|GO:0009953|GO:0019730|GO:0031594|GO:0045611|GO:0045751|GO:0045751|GO:0045751|GO:0046843|GO:0048477|GO:0051059|GO:0051059|GO:0071212|GO:0071356	1225	293.89470624713	1028
FBgn0000279	49.2085756956853	2.38533273487723	0.848962600869668	2.80970296269084	0.00495872420639998	0.0377924835471966	1	CecC	Cecropin C	FBgn0000279	NM_079852	43599	GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050830|GO:0050830|GO:0050830	1120	392.896635923044	1009.75
FBgn0000286	3511.07726168602	-0.173146038810179	0.0481246675643282	-3.59786462064875	0.000320840534239734	0.0058089519756757	-1	Cf2	Chorion factor 2	FBgn0000286	NM_001273128	33692	GO:0000978|GO:0000981|GO:0001228|GO:0005515|GO:0005634|GO:0005829|GO:0006355|GO:0007527|GO:0009953|GO:0032968|GO:0043565|GO:0046843	737	81.6324026403304	239.5
FBgn0000303	6142.76303896346	0.264181915290181	0.0908047692077672	2.90933964807196	0.00362193134323752	0.0304479847814829	1	ChAT	Choline acetyltransferase	FBgn0000303	NM_057656	42249	GO:0004102|GO:0004102|GO:0004102|GO:0005634|GO:0005737|GO:0005829|GO:0007274|GO:0007274|GO:0008292|GO:0008292|GO:0043005|GO:0043195	781	49.8487762429817	176.25
FBgn0000330	862.528585392888	-0.240122340280208	0.0746005928962208	-3.21877254533687	0.00128740561027907	0.0149069231062528	-1	cm	carmine	FBgn0000330	NM_001272373	31647	GO:0006727|GO:0006886|GO:0006887|GO:0006897|GO:0006897|GO:0007220|GO:0008340|GO:0016192|GO:0030123|GO:0030131|GO:0031410|GO:0046907|GO:0140312	1788	1251.65215109451	2020
FBgn0000337	68.7674106293841	-1.34643460048744	0.281665461149142	-4.78026164441404	1.75067206078898e-06	0.000141708246151337	-1	cn	cinnabar	FBgn0000337	NM_078927	35724	GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216	1515	623.663213456303	1614
FBgn0000370	39068.1981692707	-0.280736540968272	0.0675650325493461	-4.15505669686811	3.25206890760373e-05	0.00118003643218764	-1	crc	cryptocephal	FBgn0000370	NM_001273743	47767	GO:0000977|GO:0000978|GO:0001228|GO:0003713|GO:0003713|GO:0005634|GO:0005634|GO:0005991|GO:0006357|GO:0006487|GO:0006641|GO:0007552|GO:0007591|GO:0030176|GO:0035073|GO:0035074|GO:0036499|GO:0042594|GO:0045944|GO:0046330|GO:0061629	1593	707.070309349692	1718.5
FBgn0000376	1221.26424728373	-0.181407052095861	0.0557981571365471	-3.25112981154429	0.00114947360921167	0.0138576474721001	-1	crm	cramped	FBgn0000376	NM_057757	31268	GO:0003677|GO:0003682|GO:0003682|GO:0005634|GO:0005634|GO:0006355|GO:0007379|GO:0007389	1917	1554.17874092909	2118.25
FBgn0000392	529.209578326854	0.561656384588683	0.165423520964946	3.39526314826596	0.000685626676897791	0.00971437123950061	1	cup	cup	FBgn0000392	NM_001298758	33934	GO:0000932|GO:0003723|GO:0003729|GO:0005515|GO:0005634|GO:0005634|GO:0005737|GO:0005737|GO:0005829|GO:0007143|GO:0007297|GO:0007317|GO:0007319|GO:0007319|GO:0008190|GO:0008298|GO:0008582|GO:0009953|GO:0017148|GO:0017148|GO:0017148|GO:0030715|GO:0031594|GO:0043195|GO:0045132|GO:0045182|GO:0045947|GO:0048477|GO:0048477|GO:0070971|GO:0071598|GO:1905536|GO:1990124	1475	695.629235603209	1621.25
FBgn0000414	13491.6696320578	-0.301999499478817	0.058734818366443	-5.14174569494129	2.72197390867322e-07	2.86429425875528e-05	-1	Dab	Disabled	FBgn0000414	NM_001169984	39866	GO:0005118|GO:0005515|GO:0005737|GO:0005829|GO:0007349|GO:0007391|GO:0008045|GO:0030424|GO:0042051|GO:0045874|GO:0048488|GO:0072583	1598	710.878420292203	1731.5
FBgn0000449	421.671346597229	0.482693568098501	0.176910820786173	2.7284570042322	0.00636313847280462	0.0447241202201134	1	dib	disembodied	FBgn0000449	NM_080071	45282	GO:0005506|GO:0005739|GO:0006697|GO:0006697|GO:0007391|GO:0007417|GO:0007494|GO:0008258|GO:0008362|GO:0016705|GO:0020037|GO:0042767	805	85.7605370637122	280
FBgn0000451	58.3454003660754	1.14360047635845	0.393206290341366	2.9083982236541	0.00363285404928685	0.0304714213262991	1	ect	ectodermal	FBgn0000451	NM_001274748	44135	GO:0003674|GO:0005575|GO:0035295|GO:0042335	987	148.552301120489	534
FBgn0000489	6440.21685197239	0.190497444976195	0.0625861480825474	3.04376368913038	0.0023363858613953	0.0223940380677134	1	Pka-C3	Protein kinase, cAMP-dependent, catalytic subunit 3	FBgn0000489	NM_079373	39733	GO:0004691|GO:0004691|GO:0005515|GO:0005524|GO:0005952|GO:0006468|GO:0007165|GO:0007476|GO:0018105	1258	313.640281507348	1089.5
FBgn0000497	515.27599683712	0.565409690192886	0.126698803747399	4.46262848164021	8.09603542469508e-06	0.000467728603437678	1	NA	NA	FBgn0000497	NA	NA	NA	1788	1343.30308427878	2031.5
FBgn0000499	1674.59660191232	-0.2041910576508	0.0593553307244386	-3.44014691113039	0.000581398503408013	0.00866042745420309	-1	dsh	dishevelled	FBgn0000499	NM_078563	32078	GO:0000132|GO:0000132|GO:0001736|GO:0001737|GO:0001745|GO:0001751|GO:0005109|GO:0005515|GO:0005737|GO:0005829|GO:0005886|GO:0007298|GO:0007367|GO:0007391|GO:0007435|GO:0008045|GO:0008585|GO:0008587|GO:0016201|GO:0016477|GO:0019904|GO:0030159|GO:0030159|GO:0030707|GO:0030707|GO:0031290|GO:0032231|GO:0035019|GO:0035159|GO:0035309|GO:0035317|GO:0035317|GO:0035556|GO:0042067|GO:0042067|GO:0045179|GO:0045773|GO:0048076|GO:0048477|GO:0048675|GO:0048730|GO:0050770|GO:0060070|GO:0060070|GO:0060070|GO:0060070|GO:0060250|GO:0060914|GO:0070300|GO:0090163|GO:1902669|GO:1990909	1491	605.746366512433	1580.25
FBgn0000547	4717.38285530106	0.209967063345175	0.0727315066574569	2.88687905688597	0.00389083759321087	0.0320760041539914	1	ed	echinoid	FBgn0000547	NM_001273084	33619	GO:0002009|GO:0005154|GO:0005515|GO:0005769|GO:0005886|GO:0005887|GO:0005887|GO:0005911|GO:0005912|GO:0005938|GO:0007156|GO:0007156|GO:0007391|GO:0007423|GO:0007476|GO:0008360|GO:0009986|GO:0030038|GO:0032956|GO:0035147|GO:0035157|GO:0035332|GO:0035332|GO:0042059|GO:0042060|GO:0045680|GO:0045747|GO:0045747|GO:0046843|GO:0048644|GO:0050768|GO:0050839|GO:0050839|GO:0090138|GO:0090175|GO:0098609|GO:0098609|GO:0098609	1001	41.5788630851296	314.25
FBgn0000615	431.096090669454	2.32497346288149	0.771006958499995	3.01550256745381	0.00256553766877296	0.023906072698522	1	exu	exuperantia	FBgn0000615	NM_001169747	37345	GO:0000398|GO:0000932|GO:0001700|GO:0003727|GO:0005515|GO:0005737|GO:0005737|GO:0007283|GO:0007300|GO:0007317|GO:0008595|GO:0036464|GO:0042803|GO:0045450|GO:0045450|GO:0045450|GO:0045451|GO:0071011	1696	1189.68777073808	1962
FBgn0000658	113.438940462095	0.85733972649095	0.229770468298344	3.73128771874087	0.000190503499227133	0.004097076716225	1	fj	four-jointed	FBgn0000658	NM_058135	37089	GO:0001736|GO:0001736|GO:0001737|GO:0004672|GO:0005615|GO:0005737|GO:0005886|GO:0006468|GO:0007267|GO:0007267|GO:0007267|GO:0007267|GO:0007446|GO:0007474|GO:0016348|GO:0017147|GO:0035159|GO:0043393|GO:0090175|GO:0090175	720	46.3694539420702	141.5
FBgn0000662	3822.78691693669	-0.157647603702581	0.0480670264789175	-3.27974529008417	0.00103900845100244	0.0129470468173348	-1	fl(2)d	female lethal d	FBgn0000662	NM_001259376	36527	GO:0000375|GO:0000381|GO:0000381|GO:0000381|GO:0005515|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0007530|GO:0007539|GO:0019099|GO:0036396|GO:0048749|GO:0080009|GO:0080009	1644	826.283160628519	1817
FBgn0001075	135.822033207165	1.13139527322102	0.283503527838997	3.99076259066359	6.58611832981955e-05	0.00202984718064648	1	ft	fat	FBgn0001075	NM_058149	33627	GO:0001736|GO:0001736|GO:0001737|GO:0005509|GO:0005515|GO:0005887|GO:0007156|GO:0007157|GO:0007164|GO:0007446|GO:0007447|GO:0007476|GO:0008285|GO:0009888|GO:0010629|GO:0016327|GO:0016336|GO:0016339|GO:0032880|GO:0035159|GO:0035209|GO:0035220|GO:0035332|GO:0035332|GO:0040008|GO:0040008|GO:0042067|GO:0042067|GO:0043065|GO:0044331|GO:0045296|GO:0045317|GO:0045570|GO:0045571|GO:0045926|GO:0046621|GO:0046621|GO:0048105|GO:0090175|GO:0090175|GO:0090176|GO:0090251|GO:0098609|GO:0098609	1578	725.388534288564	1713.75
FBgn0001086	282.763825930022	1.24800817012239	0.331376709002092	3.76613122231988	0.000165796675927115	0.00377025685907556	1	fzy	fizzy	FBgn0001086	NM_058153	34968	GO:0000278|GO:0000776|GO:0005680|GO:0005680|GO:0005680|GO:0005813|GO:0005819|GO:0007144|GO:0007147|GO:0010997|GO:0030163|GO:0030718|GO:0031145|GO:0031145|GO:0031145|GO:0031145|GO:0060547|GO:0097150|GO:1904668|GO:1905786|GO:1990757	921	139.38908966824	454
FBgn0001112	1203.08598384796	-0.538253761834526	0.125742927927342	-4.28058874329334	1.86399538590785e-05	0.000844934770005982	-1	Gld	Glucose dehydrogenase	FBgn0001112	NM_001363924	40875	GO:0006006|GO:0008364|GO:0016491|GO:0016614|GO:0046693|GO:0046693|GO:0050660	1125	245.75221703907	854.25
