gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,updown,symbol,genename,ensembl,refseq,entrezid,GO,degree,betweenness,rank
FBgn0000003,1903.9180158774,1.58796985979209,0.2135313108047,7.43670730914249,1.03225917006983e-13,4.11006543066724e-11,1,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,FBgn0000003,NR_001992,3771948,GO:0005786|GO:0006614,1,0,263.5
FBgn0000044,35923.2838907369,0.528078848211316,0.14896939871942,3.54488138336344,0.000392789804700553,0.00664360436607181,1,Act57B,Actin 57B,FBgn0000044,NM_079076,37368,GO:0000281|GO:0005886|GO:0050807,18,248.365628338912,986.75
FBgn0000057,1187.91104585769,-0.232724177358579,0.0755410463616237,-3.08076454546977,0.0020646984922433,0.0206330162795944,-1,adp,adipose,FBgn0000057,NM_001299634,37073,GO:0003674|GO:0005737|GO:0005975|GO:0006629|GO:0006629|GO:0009269|GO:0010883|GO:0010891|GO:0045717|GO:0080008,7,1954.13653884996,1013.5
FBgn0000092,479.922570581986,1.08029967205083,0.253461771426639,4.26217991758771,2.02442346769362e-05,0.000887613289466143,1,dyw,daywake,FBgn0000092,NM_130660,31252,GO:0005615|GO:0005615|GO:0007623|GO:0010841|GO:0032504,6,1194,967.5
FBgn0000100,37747.00166535,-0.314319007948339,0.0988408548847523,-3.18005149100373,0.00147248885180058,0.0163718534073405,-1,RpLP0,Ribosomal protein LP0,FBgn0000100,NM_001275273,40451,GO:0000027|GO:0002181|GO:0002181|GO:0002181|GO:0003735|GO:0003735|GO:0003735|GO:0003735|GO:0022625|GO:0022625|GO:0022626|GO:0022626|GO:0052720|GO:0070180,4,15.0174894479128,767.5
FBgn0000286,3511.07726168602,-0.173146038810179,0.0481246675643282,-3.59786462064875,0.000320840534239734,0.0058089519756757,-1,Cf2,Chorion factor 2,FBgn0000286,NM_001273128,33692,GO:0000978|GO:0000981|GO:0001228|GO:0005515|GO:0005634|GO:0005829|GO:0006355|GO:0007527|GO:0009953|GO:0032968|GO:0043565|GO:0046843,1,0,263.5
FBgn0000337,68.7674106293841,-1.34643460048744,0.281665461149142,-4.78026164441404,1.75067206078898e-06,0.000141708246151337,-1,cn,cinnabar,FBgn0000337,NM_078927,35724,GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216,3,3,689.5
FBgn0000376,1221.26424728373,-0.181407052095861,0.0557981571365471,-3.25112981154429,0.00114947360921167,0.0138576474721001,-1,crm,cramped,FBgn0000376,NM_057757,31268,GO:0003677|GO:0003682|GO:0003682|GO:0005634|GO:0005634|GO:0006355|GO:0007379|GO:0007389,3,2201.28554169226,897.75
FBgn0000392,529.209578326854,0.561656384588683,0.165423520964946,3.39526314826596,0.000685626676897791,0.00971437123950061,1,cup,cup,FBgn0000392,NM_001298758,33934,GO:0000932|GO:0003723|GO:0003729|GO:0005515|GO:0005634|GO:0005634|GO:0005737|GO:0005737|GO:0005829|GO:0007143|GO:0007297|GO:0007317|GO:0007319|GO:0007319|GO:0008190|GO:0008298|GO:0008582|GO:0009953|GO:0017148|GO:0017148|GO:0017148|GO:0030715|GO:0031594|GO:0043195|GO:0045132|GO:0045182|GO:0045947|GO:0048477|GO:0048477|GO:0070971|GO:0071598|GO:1905536|GO:1990124,6,1185.74058048886,966.5
FBgn0000414,13491.6696320578,-0.301999499478817,0.058734818366443,-5.14174569494129,2.72197390867322e-07,2.86429425875528e-05,-1,Dab,Disabled,FBgn0000414,NM_001169984,39866,GO:0005118|GO:0005515|GO:0005737|GO:0005829|GO:0007349|GO:0007391|GO:0008045|GO:0030424|GO:0042051|GO:0045874|GO:0048488|GO:0072583,3,1.5,677
FBgn0000489,6440.21685197239,0.190497444976195,0.0625861480825474,3.04376368913038,0.0023363858613953,0.0223940380677134,1,Pka-C3,Protein kinase, cAMP-dependent, catalytic subunit 3,FBgn0000489,NM_079373,39733,GO:0004691|GO:0004691|GO:0005515|GO:0005524|GO:0005952|GO:0006468|GO:0007165|GO:0007476|GO:0018105,4,246.302639891873,832.5
FBgn0000615,431.096090669454,2.32497346288149,0.771006958499995,3.01550256745381,0.00256553766877296,0.023906072698522,1,exu,exuperantia,FBgn0000615,NM_001169747,37345,GO:0000398|GO:0000932|GO:0001700|GO:0003727|GO:0005515|GO:0005737|GO:0005737|GO:0007283|GO:0007300|GO:0007317|GO:0008595|GO:0036464|GO:0042803|GO:0045450|GO:0045450|GO:0045450|GO:0045451|GO:0071011,1,0,263.5
