gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO	degree	betweenness	rank
FBgn0000003	1013.14457810779	1.08410033778063	0.290932561916426	3.72629426778312	0.000194315535275737	0.00367862353018343	1	7SLRNA:CR32864	Signal recognition particle 7SL RNA CR32864	FBgn0000003	NR_001992	3771948	GO:0005786|GO:0006614	1	0	173
FBgn0000092	254.643874694614	1.29094350873239	0.183731076811608	7.02626649304452	2.1213312224348e-12	3.30467622964843e-10	1	dyw	daywake	FBgn0000092	NM_130660	31252	GO:0005615|GO:0005615|GO:0007623|GO:0010841|GO:0032504	5	23.5	513.5
FBgn0000120	193901.79453614	0.494360810469642	0.122125654008852	4.04796858188214	5.16640792316493e-05	0.0012401705518083	1	Arr1	Arrestin 1	FBgn0000120	NM_001259144	35078	GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005737|GO:0005737|GO:0006897|GO:0007608|GO:0016028|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0045494	6	23.4166666666667	522
FBgn0000182	30.1590827974561	2.68190909682105	0.817577926499306	3.28031005962259	0.00103693059674451	0.0136951099243172	1	BicC	Bicaudal C	FBgn0000182	NM_057517	34946	GO:0000226|GO:0000278|GO:0003723|GO:0003729|GO:0003729|GO:0005515|GO:0005737|GO:0007297|GO:0007319|GO:0008104|GO:0030036|GO:0048477	5	538.32619047619	555.5
FBgn0000299	7361.0623471177	-0.940508984642735	0.306033450241169	-3.07322282548384	0.00211760303421975	0.0239760133384075	-1	Col4a1	Collagen type IV alpha 1	FBgn0000299	NM_164615	33727	GO:0005201|GO:0005201|GO:0005587|GO:0005587|GO:0005604|GO:0005615|GO:0007391|GO:0030198|GO:0031012|GO:0035848|GO:0038063|GO:0048621|GO:0055013|GO:0060729|GO:0071711	2	0	285
FBgn0000319	12217.1594225904	-0.232370228454317	0.0826881049639656	-2.81020140146616	0.00495105069860865	0.0446473444442436	-1	Chc	Clathrin heavy chain	FBgn0000319	NM_001103523	32537	GO:0005198|GO:0005515|GO:0005802|GO:0005886|GO:0005905|GO:0005938|GO:0005938|GO:0006886|GO:0006897|GO:0006898|GO:0007268|GO:0007291|GO:0008103|GO:0010508|GO:0016079|GO:0030130|GO:0030132|GO:0030136|GO:0030141|GO:0030198|GO:0031410|GO:0031623|GO:0032051|GO:0032051|GO:0033227|GO:0033363|GO:0035002|GO:0035159|GO:0040008|GO:0045334|GO:0045451|GO:0045807|GO:0046667|GO:0048471|GO:0048749|GO:0071439|GO:0071439	4	273.689737017369	522.25
FBgn0000337	61.1221305623121	-2.0609352994678	0.333498775430736	-6.17973873159194	6.42077719977029e-10	5.93004637093071e-08	-1	cn	cinnabar	FBgn0000337	NM_078927	35724	GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216	1	0	173
FBgn0000351	74.1756992283109	0.932063270975482	0.199754232498176	4.66605017234862	3.0704475816842e-06	0.000114083009284991	1	cort	cortex	FBgn0000351	NM_001273215	33937	GO:0005680|GO:0005737|GO:0007143|GO:0007144|GO:0007147|GO:0007279|GO:0007343|GO:0007349|GO:0010997|GO:0010997|GO:0031145|GO:0031145|GO:0045143|GO:1904668|GO:1905786|GO:1905786|GO:1990757	1	0	173
FBgn0000360	195.583241415006	11.2014388075034	2.25884043843207	4.95893318400065	7.08813384539815e-07	3.14946978079031e-05	1	Cp38	Chorion protein 38	FBgn0000360	NM_001169232	31788	NA	6	384.063492063492	557.5
FBgn0000449	375.256362296473	0.506132559317027	0.143584346145589	3.52498425422942	0.000423507963917737	0.00679950443942682	1	dib	disembodied	FBgn0000449	NM_080071	45282	GO:0005506|GO:0005739|GO:0006697|GO:0006697|GO:0007391|GO:0007417|GO:0007494|GO:0008258|GO:0008362|GO:0016705|GO:0020037|GO:0042767	3	0	333.25
