gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,updown,symbol,genename,ensembl,refseq,entrezid,GO,degree,betweenness,rank
FBgn0000003,1013.14457810779,1.08410033778063,0.290932561916426,3.72629426778312,0.000194315535275737,0.00367862353018343,1,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,FBgn0000003,NR_001992,3771948,GO:0005786|GO:0006614,25,109.530210112754,159
FBgn0000042,31770.7823267398,0.368514825635523,0.130706857553086,2.8193993225325,0.00481136215175162,0.0437926698515528,1,Act5C,Actin 5C,FBgn0000042,NM_001014725,31521,GO:0000281|GO:0000281|GO:0006338|GO:0007291|GO:0031011|GO:0032507|GO:0035060|GO:0035148,48,250.16297612915,311.5
FBgn0000063,204.070609789618,0.852181834313584,0.126819427328157,6.71964739367955,1.82164835383434e-11,2.47935928579768e-09,1,Mps1,Monopolar spindle 1,FBgn0000063,NM_001275748,42126,GO:0000705|GO:0000776|GO:0000940|GO:0001666|GO:0004712|GO:0005524|GO:0005813|GO:0007094|GO:0007094|GO:0007143|GO:0016321|GO:0032837|GO:0032837|GO:0033046|GO:0033316|GO:0043060|GO:0044779|GO:0048133|GO:0051321|GO:1905342,431,2995.26527191637,1415.75
FBgn0000083,8736.31576520514,0.472645802677733,0.138782039824263,3.40566980623888,0.00066001953607861,0.00962125434216058,1,AnxB9,Annexin B9,FBgn0000083,NM_001275867,42492,GO:0005509|GO:0005515|GO:0005544|GO:0005737|GO:0005938|GO:0012505|GO:0030011|GO:0030507|GO:0032509|GO:0048190,398,3740.70268807591,1398
FBgn0000084,5920.94660163608,0.193684754801613,0.064065624734615,3.02322432043598,0.00250096781150777,0.0269533776036473,1,AnxB10,Annexin B10,FBgn0000084,NM_001169333,33019,GO:0005509|GO:0005544|GO:0005737|GO:0008150|GO:0016020,170,563.77454690135,730.25
FBgn0000092,254.643874694614,1.29094350873239,0.183731076811608,7.02626649304452,2.1213312224348e-12,3.30467622964843e-10,1,dyw,daywake,FBgn0000092,NM_130660,31252,GO:0005615|GO:0005615|GO:0007623|GO:0010841|GO:0032504,135,317.00411568096,546.5
FBgn0000120,193901.79453614,0.494360810469642,0.122125654008852,4.04796858188214,5.16640792316493e-05,0.0012401705518083,1,Arr1,Arrestin 1,FBgn0000120,NM_001259144,35078,GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005737|GO:0005737|GO:0006897|GO:0007608|GO:0016028|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0045494,31,11.9017000887467,60.75
FBgn0000121,314569.610985674,-0.358241920764669,0.118798303252722,-3.01554745274916,0.00256515796985138,0.0273885157309483,-1,Arr2,Arrestin 2,FBgn0000121,NM_079252,38993,GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005515|GO:0005737|GO:0005737|GO:0007605|GO:0007608|GO:0016028|GO:0016029|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0016062|GO:0045494,160,438.357141552599,660.75
FBgn0000182,30.1590827974561,2.68190909682105,0.817577926499306,3.28031005962259,0.00103693059674451,0.0136951099243172,1,BicC,Bicaudal C,FBgn0000182,NM_057517,34946,GO:0000226|GO:0000278|GO:0003723|GO:0003729|GO:0003729|GO:0005515|GO:0005737|GO:0007297|GO:0007319|GO:0008104|GO:0030036|GO:0048477,265,1231.33584353194,1047.5
FBgn0000253,70388.3079330133,0.258371076349465,0.0841043424726078,3.07203015627421,0.00212608244936742,0.0240089485330312,1,Cam,Calmodulin,FBgn0000253,NM_001259347,36329,GO:0005509|GO:0005509|GO:0005515|GO:0005654|GO:0005737|GO:0005813|GO:0005813|GO:0005814|GO:0005819|GO:0005829|GO:0005886|GO:0006468|GO:0007099|GO:0007605|GO:0007608|GO:0007608|GO:0016028|GO:0016028|GO:0016056|GO:0016059|GO:0016060|GO:0016061|GO:0016062|GO:0019722|GO:0030048|GO:0030234|GO:0030496|GO:0031475|GO:0031476|GO:0031477|GO:0031489|GO:0032036|GO:0035071|GO:0042052|GO:0046716|GO:0051383|GO:0070855|GO:0071361|GO:0072499|GO:0072686|GO:0097431|GO:2001259,111,49.6709565403962,269.5
FBgn0000299,7361.0623471177,-0.940508984642735,0.306033450241169,-3.07322282548384,0.00211760303421975,0.0239760133384075,-1,Col4a1,Collagen type IV alpha 1,FBgn0000299,NM_164615,33727,GO:0005201|GO:0005201|GO:0005587|GO:0005587|GO:0005604|GO:0005615|GO:0007391|GO:0030198|GO:0031012|GO:0035848|GO:0038063|GO:0048621|GO:0055013|GO:0060729|GO:0071711,112,163.569924061721,386
FBgn0000319,12217.1594225904,-0.232370228454317,0.0826881049639656,-2.81020140146616,0.00495105069860865,0.0446473444442436,-1,Chc,Clathrin heavy chain,FBgn0000319,NM_001103523,32537,GO:0005198|GO:0005515|GO:0005802|GO:0005886|GO:0005905|GO:0005938|GO:0005938|GO:0006886|GO:0006897|GO:0006898|GO:0007268|GO:0007291|GO:0008103|GO:0010508|GO:0016079|GO:0030130|GO:0030132|GO:0030136|GO:0030141|GO:0030198|GO:0031410|GO:0031623|GO:0032051|GO:0032051|GO:0033227|GO:0033363|GO:0035002|GO:0035159|GO:0040008|GO:0045334|GO:0045451|GO:0045807|GO:0046667|GO:0048471|GO:0048749|GO:0071439|GO:0071439,396,1277.16181476987,1189
FBgn0000337,61.1221305623121,-2.0609352994678,0.333498775430736,-6.17973873159194,6.42077719977029e-10,5.93004637093071e-08,-1,cn,cinnabar,FBgn0000337,NM_078927,35724,GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216,142,643.422556728715,696.5
