gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO	degree	betweenness	rank
FBgn0000003	1034.97465290615	0.865586025175575	0.273050881721661	3.17005394642133	0.00152410638380912	0.0165633909124816	1	7SLRNA:CR32864	Signal recognition particle 7SL RNA CR32864	FBgn0000003	NR_001992	3771948	GO:0005786|GO:0006614	1	0	217.75
FBgn0000063	191.604805071124	0.988559516104336	0.122644124134381	8.0603903618014	7.60511960848545e-16	1.99237952636769e-13	1	Mps1	Monopolar spindle 1	FBgn0000063	NM_001275748	42126	GO:0000705|GO:0000776|GO:0000940|GO:0001666|GO:0004712|GO:0005524|GO:0005813|GO:0007094|GO:0007094|GO:0007143|GO:0016321|GO:0032837|GO:0032837|GO:0033046|GO:0033316|GO:0043060|GO:0044779|GO:0048133|GO:0051321|GO:1905342	10	1891.21103109072	769.75
FBgn0000120	191569.093922479	0.430387349868786	0.087933404415982	4.89446931717524	9.85713533964908e-07	3.65575022400901e-05	1	Arr1	Arrestin 1	FBgn0000120	NM_001259144	35078	GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005737|GO:0005737|GO:0006897|GO:0007608|GO:0016028|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0045494	2	4278.42491565599	638.5
FBgn0000147	154.172595680136	0.807248198360082	0.177469831427541	4.54865027969373	5.39910809400944e-06	0.000154602832468694	1	aurA	aurora A	FBgn0000147	NM_057401	41446	GO:0004674|GO:0004712|GO:0005515|GO:0005524|GO:0005737|GO:0005813|GO:0005876|GO:0007052|GO:0007098|GO:0007100|GO:0007279|GO:0018105|GO:0031616|GO:0032133|GO:0032465|GO:0032880|GO:0035174|GO:0045167|GO:0045739|GO:0050767|GO:0051233|GO:0051294|GO:0051299|GO:0098725|GO:1904776	6	1737.47602234827	745.75
FBgn0000163	6197.08792122079	-0.396105231566541	0.0612636779182727	-6.46558034101307	1.00910771551199e-10	1.03542860842493e-08	-1	baz	bazooka	FBgn0000163	NM_001042818	32703	GO:0000226|GO:0003401|GO:0005515|GO:0005912|GO:0005912|GO:0005914|GO:0005915|GO:0005938|GO:0007155|GO:0007294|GO:0007298|GO:0007299|GO:0007314|GO:0007377|GO:0007416|GO:0008104|GO:0008594|GO:0016324|GO:0016324|GO:0016325|GO:0030010|GO:0030709|GO:0034332|GO:0035089|GO:0035091|GO:0035091|GO:0043296|GO:0043296|GO:0045167|GO:0045176|GO:0045186|GO:0045197|GO:0045197|GO:0051490|GO:0051660|GO:0055059|GO:0055059|GO:0060446|GO:0070300|GO:0072002|GO:0090175|GO:0090175|GO:0098592	10	4385.50630883119	796.75
FBgn0000276	1024.95263694647	5.43513976104541	1.36546989142893	3.98041714076732	6.87944414877134e-05	0.00137734302120035	1	CecA1	Cecropin A1	FBgn0000276	NM_079849	43596	GO:0002213|GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0009617|GO:0019731|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050829|GO:0050830|GO:0050830	1	0	217.75
FBgn0000277	970.962761527683	4.54044351022945	1.27607246297653	3.55813924519501	0.000373491312993913	0.00555410451315707	1	CecA1	Cecropin A1	FBgn0000277	NM_079849	43596	GO:0002213|GO:0005576|GO:0005615|GO:0005615|GO:0006959|GO:0009617|GO:0019731|GO:0019731|GO:0019731|GO:0050829|GO:0050829|GO:0050829|GO:0050830|GO:0050830	3	2366.9311407158	689.25
FBgn0000299	7145.2683337064	-0.941369509627196	0.304649496489057	-3.09000842107418	0.00200150820421236	0.0202835971345405	-1	Col4a1	Collagen type IV alpha 1	FBgn0000299	NM_164615	33727	GO:0005201|GO:0005201|GO:0005587|GO:0005587|GO:0005604|GO:0005615|GO:0007391|GO:0030198|GO:0031012|GO:0035848|GO:0038063|GO:0048621|GO:0055013|GO:0060729|GO:0071711	4	856.540684105593	692.25
FBgn0000319	12693.5946879027	-0.411382074504075	0.0849510414320192	-4.84257835536104	1.2816506890438e-06	4.50884712405607e-05	-1	Chc	Clathrin heavy chain	FBgn0000319	NM_001103523	32537	GO:0005198|GO:0005515|GO:0005802|GO:0005886|GO:0005905|GO:0005938|GO:0005938|GO:0006886|GO:0006897|GO:0006898|GO:0007268|GO:0007291|GO:0008103|GO:0010508|GO:0016079|GO:0030130|GO:0030132|GO:0030136|GO:0030141|GO:0030198|GO:0031410|GO:0031623|GO:0032051|GO:0032051|GO:0033227|GO:0033363|GO:0035002|GO:0035159|GO:0040008|GO:0045334|GO:0045451|GO:0045807|GO:0046667|GO:0048471|GO:0048749|GO:0071439|GO:0071439	2	0	364.25
FBgn0000416	28103.9867488825	-0.447876055216203	0.155714566352879	-2.87626306071605	0.00402414186515764	0.0343138911258213	-1	Sap-r	Saposin-related	FBgn0000416	NM_079858	43662	GO:0005615|GO:0005764|GO:0005770|GO:0005776|GO:0006665|GO:0033227|GO:0045169|GO:0055088	4	25	633.25
