gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,updown,symbol,genename,ensembl,refseq,entrezid,GO,degree,betweenness,rank
FBgn0000044,32529.2086355121,0.77900450616588,0.20764147019184,3.75168074781091,0.000175653049475152,0.00823552575298502,1,Act57B,Actin 57B,FBgn0000044,NM_079076,37368,GO:0000281|GO:0005886|GO:0050807,131,229.569157625513,387
FBgn0000075,352.550683004931,-0.491808132348471,0.118223887976682,-4.15997258054544,3.18285802913362e-05,0.00234254649946526,-1,amd,alpha methyl dopa-resistant,FBgn0000075,NM_057244,35188,GO:0004058|GO:0004058|GO:0005737|GO:0006520|GO:0006584|GO:0006584|GO:0016831|GO:0016831|GO:0016831|GO:0019239|GO:0030170|GO:0036468|GO:0040003|GO:0042335|GO:0042424,239,1248.58749641252,615.5
FBgn0000121,316470.386866713,-0.41286947429745,0.104636803182267,-3.94573860956239,7.95543638645661e-05,0.00468408694028624,-1,Arr2,Arrestin 2,FBgn0000121,NM_079252,38993,GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005515|GO:0005737|GO:0005737|GO:0007605|GO:0007608|GO:0016028|GO:0016029|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0016062|GO:0045494,104,287.089582394644,352.25
FBgn0000146,32.6756562172748,1.07869656272902,0.344978093868926,3.12685524646346,0.0017668689824185,0.040057934407544,1,aub,aubergine,FBgn0000146,NM_001103674,34524,GO:0000398|GO:0001556|GO:0003723|GO:0003723|GO:0004521|GO:0004521|GO:0005737|GO:0007076|GO:0007279|GO:0007317|GO:0007318|GO:0010529|GO:0030717|GO:0031047|GO:0031047|GO:0031507|GO:0034584|GO:0034584|GO:0034584|GO:0035194|GO:0035194|GO:0035282|GO:0043186|GO:0043186|GO:0045089|GO:0046011|GO:0046012|GO:0046012|GO:0046594|GO:0046843|GO:0046843|GO:0048477|GO:0048477|GO:0050829|GO:0060213|GO:0071011|GO:0071013|GO:0098795|GO:1990511,200,979.224253117384,584
FBgn0000157,1228.62500050354,-0.493136694814666,0.161823850704438,-3.04736720000164,0.00230855508209047,0.0474039283322752,-1,Dll,Distal-less,FBgn0000157,NM_001144287,37973,GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0007449|GO:0007469|GO:0007469|GO:0007479|GO:0007479|GO:0007480|GO:0007485|GO:0007487|GO:0008587|GO:0010092|GO:0010629|GO:0016319|GO:0035114|GO:0035215|GO:0045893|GO:0048264|GO:0048728,127,1233.51922738426,513.25
FBgn0000253,81676.369729766,0.40160039984322,0.0874935335668258,4.5900580702514,4.43122711603446e-06,0.000513905356921836,1,Cam,Calmodulin,FBgn0000253,NM_001259347,36329,GO:0005509|GO:0005509|GO:0005515|GO:0005654|GO:0005737|GO:0005813|GO:0005813|GO:0005814|GO:0005819|GO:0005829|GO:0005886|GO:0006468|GO:0007099|GO:0007605|GO:0007608|GO:0007608|GO:0016028|GO:0016028|GO:0016056|GO:0016059|GO:0016060|GO:0016061|GO:0016062|GO:0019722|GO:0030048|GO:0030234|GO:0030496|GO:0031475|GO:0031476|GO:0031477|GO:0031489|GO:0032036|GO:0035071|GO:0042052|GO:0046716|GO:0051383|GO:0070855|GO:0071361|GO:0072499|GO:0072686|GO:0097431|GO:2001259,81,50.337860726415,184
FBgn0000256,3616.23480184623,0.233536996254972,0.0751144162048881,3.10908355618391,0.00187668636863252,0.0416788995447704,1,capu,cappuccino,FBgn0000256,NM_001144311,33611,GO:0005737|GO:0005737|GO:0005884|GO:0005938|GO:0007015|GO:0007304|GO:0007315|GO:0007315|GO:0007315|GO:0007315|GO:0007316|GO:0008017|GO:0008017|GO:0008017|GO:0030029|GO:0045010|GO:0045451|GO:0048477|GO:0048477,181,1101.2850179127,577.75
FBgn0000337,52.1676891586617,-1.74677288260665,0.271063774233714,-6.44413989860766,1.16257811651472e-10,1.22642303141333e-07,-1,cn,cinnabar,FBgn0000337,NM_078927,35724,GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216,88,57.7803127684577,204.5
FBgn0000370,31800.1301397348,-0.281760317746057,0.063888872574344,-4.41016262132641,1.03293019348077e-05,0.000990595706005537,-1,crc,cryptocephal,FBgn0000370,NM_001273743,47767,GO:0000977|GO:0000978|GO:0001228|GO:0003713|GO:0003713|GO:0005634|GO:0005634|GO:0005991|GO:0006357|GO:0006487|GO:0006641|GO:0007552|GO:0007591|GO:0030176|GO:0035073|GO:0035074|GO:0036499|GO:0042594|GO:0045944|GO:0046330|GO:0061629,66,58.132375208646,160.75
FBgn0000416,28140.4499061844,-0.271127951182257,0.088605055325881,-3.05996029442196,0.00221366336748649,0.046318619122333,-1,Sap-r,Saposin-related,FBgn0000416,NM_079858,43662,GO:0005615|GO:0005764|GO:0005770|GO:0005776|GO:0006665|GO:0033227|GO:0045169|GO:0055088,150,150.266523906227,378.5
