gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,updown,symbol,genename,ensembl,refseq,entrezid,GO,degree,betweenness,rank
FBgn0000003,1640.38569825441,-1.33311886189844,0.37415998488868,-3.5629648164944,0.000366689841355952,0.0108695673926375,-1,7SLRNA:CR32864,Signal recognition particle 7SL RNA CR32864,FBgn0000003,NR_001992,3771948,GO:0005786|GO:0006614,123,107.631123184587,323.25
FBgn0000182,33.2994376256232,-2.84899544545146,0.968122789340213,-2.94280382284265,0.00325254456368167,0.0450959222774694,-1,BicC,Bicaudal C,FBgn0000182,NM_057517,34946,GO:0000226|GO:0000278|GO:0003723|GO:0003729|GO:0003729|GO:0005515|GO:0005737|GO:0007297|GO:0007319|GO:0008104|GO:0030036|GO:0048477,189,251.172827612664,453.25
FBgn0001281,106.135116142247,-2.15391659321802,0.444807974223209,-4.84235157200029,1.28311476707782e-06,0.000201686115725135,-1,janB,janus B,FBgn0001281,NM_057236,43568,GO:0005829|GO:0007548|GO:0035971|GO:0101006,9,187.064591239739,170.75
FBgn0002862,213.902036198002,-4.1772177405351,1.09579139588453,-3.81205561224836,0.00013781585800616,0.00559818854670529,-1,Mst87F,Male-specific RNA 87F,FBgn0002862,NM_001300388,41693,GO:0005198|GO:0007283|GO:0036126,12,1741.85909393065,348.75
FBgn0002865,229.650062008697,-3.83802947536088,1.22306394381177,-3.13804482159728,0.00170078867086858,0.0298479838742836,-1,Mst98Ca,Male-specific RNA 98Ca,FBgn0002865,NM_080160,47854,GO:0003674|GO:0007286|GO:0036126,70,421.891914362212,353
FBgn0002868,20046.5471727125,-1.1615350372531,0.266496079311249,-4.35854456191271,1.30930264977855e-05,0.0010944407871935,-1,MtnA,Metallothionein A,FBgn0002868,NM_001275509,41202,GO:0005575|GO:0010038|GO:0010038|GO:0046872|GO:0055065,175,1337.19362694634,575.25
FBgn0002869,68.9225101279527,-2.01252235062616,0.490717796888984,-4.10118068548766,4.11047433379429e-05,0.00240654126886636,-1,MtnB,Metallothionein B,FBgn0002869,NM_001300496,42424,GO:0005507|GO:0005575|GO:0010038|GO:0010038|GO:0046872|GO:0055065,29,783.91558573288,354
FBgn0002962,27.8196349885365,-1.08237272812443,0.34844816610823,-3.10626610612794,0.00189466129131432,0.0322970353237497,-1,nos,nanos,FBgn0002962,NM_001275794,42297,GO:0003729|GO:0005515|GO:0006378|GO:0007280|GO:0007281|GO:0007283|GO:0007314|GO:0008270|GO:0008354|GO:0008595|GO:0017148|GO:0017148|GO:0017148|GO:0030718|GO:0031594|GO:0035282|GO:0043066|GO:0045495|GO:0045886|GO:0045892|GO:0048471|GO:0048477|GO:0048477|GO:0048813|GO:0071598|GO:0098975|GO:1990124,103,135.23205879765,303
FBgn0031878,80.9644577881317,-2.03774690537234,0.659921096217642,-3.08786446902782,0.00201600390717308,0.0335573701650853,-1,sip2,septin interacting protein 2,FBgn0031878,NM_135246,33979,GO:0000281|GO:0005515|GO:0005874|GO:0008104|GO:0030496|GO:0035371|GO:1990023,102,651.482882612667,438
FBgn0031886,161.189473962554,-1.83250825801592,0.252315867424063,-7.26275472376872,3.79285338109998e-13,2.38471533669943e-10,-1,Nuf2,Nuf2,FBgn0031886,NM_135252,33992,GO:0000776|GO:0005515|GO:0007059|GO:0007080|GO:0031262,6,38.3606930090899,72.75
FBgn0031979,273.88734199534,-1.08986075070683,0.274970230785076,-3.96355906453995,7.38405835058582e-05,0.00366944562913476,-1,CCDC53,Coiled-coil domain containing 53,FBgn0031979,NM_135334,34097,GO:0005635|GO:0005654|GO:0006887|GO:0030041|GO:0045785|GO:0071203|GO:0071203|GO:0071203|GO:0140591,8,626.570026400371,278
FBgn0032039,11.6617517803988,-4.63673981013102,1.40166175237377,-3.30803048758271,0.000939545807165206,0.0202072147273386,-1,CG13385,uncharacterized protein,FBgn0032039,NM_135381,34164,GO:0003674|GO:0005575|GO:0008150,167,246.364140635755,430
FBgn0032057,161.777724936841,-1.3225686828383,0.336367180341624,-3.9319195216818,8.4270279177051e-05,0.00395800343284099,-1,CG9287,uncharacterized protein,FBgn0032057,NM_135400,34194,NA,84,3005.915490363,484.25
FBgn0032061,116.150814471459,-2.84027949971976,0.796255933086494,-3.56704343628574,0.000361031654618265,0.0108092727897199,-1,CG9314,uncharacterized protein,FBgn0032061,NM_001273339,34198,GO:0004096|GO:0004096|GO:0005737|GO:0005739|GO:0005777|GO:0006979|GO:0020037|GO:0042542|GO:0042744,58,128.634979479179,236.5
FBgn0032065,9.01405831327985,-6.31250442476902,1.85560327417839,-3.40186100801315,0.000669286673805307,0.016211984237686,-1,CG12438,uncharacterized protein,FBgn0032065,NM_135405,34202,GO:0003674|GO:0005575|GO:0008150,125,381.531939211741,423
FBgn0032072,9.52157887926468,-5.64562443139412,1.52468931181104,-3.70280317941509,0.000213230306867514,0.00763248383072059,-1,CG9483,uncharacterized protein,FBgn0032072,NM_135411,34209,GO:0003674|GO:0005575|GO:0008150,154,151.792170631571,372.75
FBgn0032090,11.6394071246487,-4.06985621878432,1.23963989867015,-3.28309553697839,0.00102673863120536,0.0215855485434676,-1,CG9582,uncharacterized protein,FBgn0032090,NM_001298844,34230,GO:0005743|GO:0015139|GO:1990550,137,552.55771048684,471.5
FBgn0032163,45.3090069434361,-1.23874297472395,0.40892575539614,-3.02926132281382,0.00245152527577757,0.0386181993605877,-1,TbCMF46,TbCMF46,FBgn0032163,NM_135481,34318,GO:0005929,118,130.04839067955,324.75
FBgn0032219,26.1407719793443,-3.67829656105974,1.13207080045233,-3.24917536923491,0.00115740100361508,0.0231176462890576,-1,CG4995,uncharacterized protein,FBgn0032219,NM_001273396,34390,GO:0005289|GO:0005739|GO:0006810|GO:0022857|GO:1990575,85,317.422276017782,352.5
FBgn0032269,191.145365236716,-4.55297529117602,1.14851757556628,-3.96421908383174,7.36366028914871e-05,0.00366944562913476,-1,w-cup,world cup,FBgn0032269,NM_001201858,34455,NA,249,998.7182288349,593.25
FBgn0032281,212.958429986199,-1.54855732362012,0.38692130698367,-4.00225393554114,6.27419061652722e-05,0.00328584720503736,-1,CG17107,uncharacterized protein,FBgn0032281,NM_001273430,34467,NA,13,1451.32249049434,347
FBgn0032284,139.07340760958,-1.3040932780626,0.35547430956446,-3.66860063575458,0.000243881694880657,0.00827881030438775,-1,CG7294,uncharacterized protein,FBgn0032284,NM_135594,34470,NA,23,4167.39797574415,394.5
FBgn0032312,8.26685420527903,-5.44534619523082,1.71760914177635,-3.17030578307196,0.0015227859383491,0.0276298713355913,-1,CG14071,uncharacterized protein,FBgn0032312,NM_001259034,34507,GO:0003674|GO:0005575,48,615.439258747285,360.5
FBgn0032360,123.30562485176,-4.80843043878621,1.38176076097822,-3.47992979289851,0.000501545194315212,0.0131869910090769,-1,CG14926,uncharacterized protein,FBgn0032360,NM_001298912,34567,NA,109,240.46882560056,359.5
FBgn0032370,30.3861098538674,-4.97068566500601,1.095044987305,-4.53925247148002,5.64540086326495e-06,0.000613820615666725,-1,CG12307,uncharacterized protein,FBgn0032370,NM_135668,34584,GO:0003674|GO:0005575|GO:0008150,238,1086.28805966212,597
FBgn0032374,5.79664273318376,-4.91931598366901,1.5428153129826,-3.18853199230885,0.00142997185458007,0.0266823522439772,-1,CG14931,uncharacterized protein,FBgn0032374,NM_001273460,34588,GO:0003674|GO:0005575|GO:0008150,123,261.855495779696,389
FBgn0032385,7.20526985917351,-5.24361907242869,1.46520154590955,-3.57876981980225,0.00034521534353623,0.0105542475325104,-1,CG16964,uncharacterized protein,FBgn0032385,NM_001298926,34605,NA,88,414.255531441506,377.25
FBgn0032424,46.3442303672114,-2.15087173480566,0.611718124174693,-3.51611575626852,0.00043791001365064,0.0121314496310381,-1,CG17010,uncharacterized protein,FBgn0032424,NM_135716,34650,GO:0004747|GO:0006014,60,182.257940435226,266.5
FBgn0032457,9.64820494921476,-4.8304139984435,1.61175949248017,-2.99698188283072,0.00272666917382591,0.0411363321428799,-1,CG15483,uncharacterized protein,FBgn0032457,NM_135748,34687,GO:0005794|GO:0015020|GO:0035269,102,253.730201490793,352.5
FBgn0032464,58.8465335437939,-2.99246063002043,0.750840155486097,-3.98548293955203,6.73430160406295e-05,0.00343261016381878,-1,Vha68-3,Vacuolar H[+] ATPase 68kD subunit 3,FBgn0032464,NM_135751,34695,GO:0005524|GO:0033176|GO:0033180|GO:0046034|GO:0046961|GO:0046961|GO:1902600|GO:1902600,68,102.144272296093,239.75
FBgn0032471,65.2655340901216,-4.34999135162849,0.988109529434955,-4.40233721267319,1.07090936502035e-05,0.000950087136660075,-1,CG5122,uncharacterized protein,FBgn0032471,NM_135757,34703,GO:0004092|GO:0005777|GO:0019254,27,11.9991931219297,117
FBgn0032483,393.130898756986,-1.4703949306706,0.140527245448286,-10.4634153041284,1.27186845764151e-25,9.19624488297691e-22,-1,CG15482,uncharacterized protein,FBgn0032483,NM_135770,34717,NA,138,345.648788559034,426.25
FBgn0032519,14.6365398877304,-4.18833571149978,1.12808348354093,-3.71278878966745,0.000204987949108466,0.00742940033097124,-1,CG16957,uncharacterized protein,FBgn0032519,NM_001298968,34755,GO:0005768|GO:0008150|GO:0012505|GO:0016020|GO:0020037,153,445.751814799046,466
FBgn0032520,66.0564567813923,-3.89762919037758,1.06029821660311,-3.67597448467324,0.000236943205640612,0.00823648073714856,-1,CG10859,uncharacterized protein,FBgn0032520,NM_001298969,34756,GO:0003341|GO:0003341|GO:0007018|GO:0036157|GO:0036157|GO:0036158|GO:0045503|GO:0045504,68,412.796681033247,347.25
FBgn0032530,20.0284674262704,-3.14331213295069,0.852972332592583,-3.68512789083873,0.000228587828741973,0.00800389489452222,-1,CG9263,uncharacterized protein,FBgn0032530,NM_135818,34770,GO:0003674|GO:0005575|GO:0008150,121,351.324550746318,408
FBgn0032553,18.6745132506977,-3.5457509114661,1.10039711168671,-3.2222466542384,0.00127189591061411,0.0246477638263464,-1,CG4480,uncharacterized protein,FBgn0032553,NM_001201885,34864,GO:0016020,63,154.91822750333,255.5
FBgn0032554,10.4745544221154,-5.16647507974535,1.76905198433243,-2.92047668779782,0.00349496344041136,0.0471461439475641,-1,CG15278,uncharacterized protein,FBgn0032554,NM_001259103,34865,NA,134,702.089726094139,492.5
FBgn0032563,12.7146244447186,-5.24016723182604,1.70916828032185,-3.06591649994773,0.00217003907663197,0.0353388908639357,-1,CG15258,uncharacterized protein,FBgn0032563,NM_135907,34904,NA,10,165.804898357203,165
FBgn0032588,25.3531461021551,-3.45235953625741,0.947950636545689,-3.64191910755789,0.00027061311554207,0.00887377837608588,-1,CG5968,uncharacterized protein,FBgn0032588,NM_001273576,34986,GO:0003674|GO:0005575|GO:0008150,25,5543.31806106577,400.25
FBgn0032590,86.1224983478956,-3.57098917184454,0.871466350353207,-4.09767878059458,4.17313833854826e-05,0.002423604558785,-1,CG4631,uncharacterized protein,FBgn0032590,NM_135955,34988,GO:0003674|GO:0005575|GO:0008150,216,579.627855337568,544
FBgn0032626,18.8921844792157,-4.06231484356523,1.16917060411387,-3.47452701023398,0.000511754839365264,0.0133824353201828,-1,CG12620,uncharacterized protein,FBgn0032626,NM_001273596,35034,GO:0004864|GO:0009966|GO:0043666,65,1226.60773892694,433
FBgn0032632,25.3176573732375,-4.69335553229038,1.30484353551459,-3.59687227207627,0.000322066530389456,0.0100809612466708,-1,CG6380,uncharacterized protein,FBgn0032632,NM_001299080,35040,GO:0004864|GO:0009966|GO:0043666,20,26.1561106245712,110
FBgn0032637,92.4090221805412,-1.07395737244219,0.349753058706697,-3.07061609815058,0.00213617618932502,0.0349053603094115,-1,CG5050,uncharacterized protein,FBgn0032637,NM_001259127,35048,NA,75,328.458922652407,340.25
