gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO	degree	betweenness	rank
FBgn0000003	1640.38569825441	-1.33311886189844	0.37415998488868	-3.5629648164944	0.000366689841355952	0.0108695673926375	-1	7SLRNA:CR32864	Signal recognition particle 7SL RNA CR32864	FBgn0000003	NR_001992	3771948	GO:0005786|GO:0006614	3	3.9	196.25
FBgn0000182	33.2994376256232	-2.84899544545146	0.968122789340213	-2.94280382284265	0.00325254456368167	0.0450959222774694	-1	BicC	Bicaudal C	FBgn0000182	NM_057517	34946	GO:0000226|GO:0000278|GO:0003723|GO:0003729|GO:0003729|GO:0005515|GO:0005737|GO:0007297|GO:0007319|GO:0008104|GO:0030036|GO:0048477	3	86.654644011877	215.75
FBgn0002862	213.902036198002	-4.1772177405351	1.09579139588453	-3.81205561224836	0.00013781585800616	0.00559818854670529	-1	Mst87F	Male-specific RNA 87F	FBgn0002862	NM_001300388	41693	GO:0005198|GO:0007283|GO:0036126	9	5.4	264
FBgn0002865	229.650062008697	-3.83802947536088	1.22306394381177	-3.13804482159728	0.00170078867086858	0.0298479838742836	-1	Mst98Ca	Male-specific RNA 98Ca	FBgn0002865	NM_080160	47854	GO:0003674|GO:0007286|GO:0036126	12	3589.35046740652	385.75
FBgn0031878	80.9644577881317	-2.03774690537234	0.659921096217642	-3.08786446902782	0.00201600390717308	0.0335573701650853	-1	sip2	septin interacting protein 2	FBgn0031878	NM_135246	33979	GO:0000281|GO:0005515|GO:0005874|GO:0008104|GO:0030496|GO:0035371|GO:1990023	3	12.9635485438055	202.75
FBgn0031886	161.189473962554	-1.83250825801592	0.252315867424063	-7.26275472376872	3.79285338109998e-13	2.38471533669943e-10	-1	Nuf2	Nuf2	FBgn0031886	NM_135252	33992	GO:0000776|GO:0005515|GO:0007059|GO:0007080|GO:0031262	8	1785.97658758482	356.25
FBgn0032039	11.6617517803988	-4.63673981013102	1.40166175237377	-3.30803048758271	0.000939545807165206	0.0202072147273386	-1	CG13385	uncharacterized protein	FBgn0032039	NM_135381	34164	GO:0003674|GO:0005575|GO:0008150	10	3151.46896748096	378
FBgn0032061	116.150814471459	-2.84027949971976	0.796255933086494	-3.56704343628574	0.000361031654618265	0.0108092727897199	-1	CG9314	uncharacterized protein	FBgn0032061	NM_001273339	34198	GO:0004096|GO:0004096|GO:0005737|GO:0005739|GO:0005777|GO:0006979|GO:0020037|GO:0042542|GO:0042744	28	1461.24197970323	382.5
FBgn0032065	9.01405831327985	-6.31250442476902	1.85560327417839	-3.40186100801315	0.000669286673805307	0.016211984237686	-1	CG12438	uncharacterized protein	FBgn0032065	NM_135405	34202	GO:0003674|GO:0005575|GO:0008150	5	3129.01858451102	343.25
FBgn0032072	9.52157887926468	-5.64562443139412	1.52468931181104	-3.70280317941509	0.000213230306867514	0.00763248383072059	-1	CG9483	uncharacterized protein	FBgn0032072	NM_135411	34209	GO:0003674|GO:0005575|GO:0008150	5	567.586780822226	291.75
