gene	degree	betweenness	rank
FBgn0000451	15	3.64533746005325	16.75
FBgn0000658	45	21.4115729896669	50
FBgn0001311	37	3.20473122389666	27.75
FBgn0031940	46	25.549398584972	54
FBgn0031942	38	3.89817288966394	31.75
FBgn0033308	42	10.252957235844	43.75
FBgn0033702	33	23.1878636560015	37.75
FBgn0033728	40	5.88908644518826	37.25
FBgn0034098	48	92.1755887637477	67.25
FBgn0034253	42	10.1602270796794	43.25
FBgn0035398	43	17.0052146817332	46.5
FBgn0034670	19	14.3377975979416	28
FBgn0035918	6	3.75550076202409	13.25
FBgn0035969	45	71.5858597215295	60.5
FBgn0036617	15	23.0305401997136	28.75
FBgn0035548	29	0.108386453656788	16.75
FBgn0036619	20	153.262040146061	46.25
FBgn0036656	35	12.7379626540826	35
FBgn0036832	36	7.38148411311462	33.5
FBgn0037065	13	82.7632117144735	39
FBgn0037419	47	28.8228434960515	56.75
FBgn0036872	4	0.835249421721634	7.25
FBgn0037995	47	69.9951279328294	62.75
FBgn0038526	38	64.0644240713269	51.5
FBgn0038629	36	2.86798438160025	26
FBgn0038820	38	3.89817288966394	31.75
FBgn0034840	2	0	1.75
FBgn0038466	4	0.856944444444444	7.75
FBgn0004577	31	0.429301811263109	19.25
FBgn0004782	28	0.0611111111111111	15.25
FBgn0004783	33	0.9161728627321	22.75
FBgn0039028	48	104.052339640762	67.75
FBgn0039480	31	0.538203275049442	19.75
FBgn0039481	38	7.07456742928809	35.5
FBgn0039805	39	4.83398673798833	34.25
FBgn0000337	4	0.877250603451976	8.25
FBgn0003388	11	30.4633949735458	30.5
FBgn0041579	15	21.0104203093187	27.75
FBgn0040637	39	5.27369139832356	34.75
FBgn0051084	27	34.4058532100387	38.5
FBgn0052499	45	19.5513492352286	49
FBgn0052580	13	5.36112871557512	18
FBgn0083970	30	33.311123160564	40.5
FBgn0054051	23	25.6331583440672	35
FBgn0085195	17	6.31555696273972	22.75
FBgn0085320	34	42.1136620241805	45.5
FBgn0086068	20	37.406034191259	38.25
FBgn0259713	49	71.7625560244489	65.75
FBgn0260479	36	2.66581302745577	25.5
FBgn0260653	43	18.2422936310702	47
FBgn0261429	46	55.3586813561236	60
FBgn0013688	37	72.2733827783085	51.75
FBgn0263621	40	8.69104518319963	40.75
FBgn0264711	43	25.2950994863925	50.5
FBgn0265422	28	29.9645636847144	37.75
FBgn0266382	38	3.45846822932872	30
FBgn0266437	15	82.9537577759057	41.25
FBgn0266577	13	24.0683279043066	28
FBgn0266691	49	61.4254267018957	63.75
FBgn0267585	29	73.3440326511282	46.25
FBgn0003356	4	134	37.25
FBgn0267985	46	37.2231187899852	58
FBgn0014454	41	7.07927096610512	40.5
FBgn0027600	40	6.02417125890519	37.75
FBgn0270925	2	0	1.75
FBgn0014859	6	8.35792032610513	19.25
FBgn0031301	3	0	2.5
FBgn0031302	17	41.8739939230541	37.25
FBgn0031701	40	27.2543369726458	48.75
FBgn0031735	10	0.371752321752322	8
