gene,degree,betweenness,rank
FBgn0000075,21,1495.01346848851,371.5
FBgn0000658,21,241.023417179658,272.5
FBgn0001311,15,17.3182475940481,174.75
FBgn0000497,20,41.0396450642588,216.25
FBgn0031940,27,472.910513678395,327
FBgn0000163,21,2881.94460945725,388.5
FBgn0002936,19,724.116204343126,318
FBgn0031942,30,194.470552250584,294.75
FBgn0000121,2,0,23.25
FBgn0031836,8,284.137383825655,196
FBgn0032414,26,123.271687937709,266
FBgn0032169,21,1606.31797001139,374
FBgn0032515,16,1520.05472278571,341
FBgn0001301,14,240.362327825905,229.75
FBgn0033199,7,433.315668973381,200.25
FBgn0001253,23,807.88892920764,347.5
FBgn0032512,13,152.936973235601,205.25
FBgn0033308,33,278.956776371087,322
FBgn0031857,25,566.176996855914,332
FBgn0031850,13,256.329274954585,227.75
FBgn0033375,26,1028.15638086732,371
FBgn0032775,13,270.096629254392,232.25
FBgn0033421,10,91.0840493345718,165.75
FBgn0033669,35,1010.92372634958,391.25
FBgn0031879,22,999.336823677831,354.25
FBgn0033728,37,239.199916388707,314.75
FBgn0032857,20,134.29189535358,243.25
FBgn0033945,9,80.0398105054663,152.5
FBgn0033936,20,2567.95162937464,380.75
FBgn0033558,3,1.72333367207189,51.75
FBgn0034253,35,307.357735866516,330.25
FBgn0034408,16,125.82084794478,214.5
FBgn0034098,17,1942.31817054226,355.75
FBgn0034793,8,143.12575408115,164.5
FBgn0034693,6,231.840729856363,161.75
FBgn0032083,6,640.372817458071,213.75
FBgn0033638,47,3002.71699152418,445
FBgn0033724,2,0,23.25
FBgn0035099,21,286.566444484028,285
FBgn0035237,21,59.1318830434675,226.5
FBgn0035308,39,2045.0707420205,429.5
FBgn0034897,5,1.27435897435897,72
FBgn0031959,3,0,35.75
FBgn0033702,25,1426.56806459863,387
FBgn0002940,14,534.916413165806,268.75
FBgn0034069,3,4.98963229733684,55.75
FBgn0035348,2,0,23.25
FBgn0035515,40,1120.70936605462,403.75
FBgn0035873,21,740.936111605517,332
FBgn0000097,18,470.278826134556,283
FBgn0032006,3,68.5052267079069,88.75
FBgn0034859,7,41.8430900748613,127.25
FBgn0035262,4,52.0659938000449,97.75
FBgn0034400,18,790.922011364781,318
FBgn0034670,3,1.7747012532783,52.75
FBgn0035720,7,32.383084775215,122.25
FBgn0032816,4,7.73468803059064,73.25
FBgn0033110,4,198.445266113671,135.75
FBgn0032810,8,499.526778244489,219.5
FBgn0033438,9,934.269572266767,264
FBgn0032074,6,25.12217066273,108.25
FBgn0031990,11,984.431147686034,286
FBgn0035710,14,550.952079025676,269.25
FBgn0035917,10,8.80432382602944,134.75
FBgn0036043,26,501.795842883061,329
FBgn0036417,8,132.382876637296,161.5
FBgn0033289,6,428.920801851797,188.75
FBgn0035969,48,3045.09908223125,446.25
FBgn0035398,12,104.004175247462,184.5
FBgn0035548,9,12.6778529864199,127.5
FBgn0036746,25,1172.53077033605,377.5
FBgn0033257,6,62.6667118790623,121.25
FBgn0036646,27,2179.97748683245,409.5
FBgn0036398,10,103.498469072348,169.25
FBgn0036992,5,2.39880835143127,77.5
FBgn0033015,3,35.0408378123506,78.75
FBgn0036844,16,321.47724243033,257.5
FBgn0035880,23,1199.9415000194,371.5
FBgn0036505,8,283.594814296627,195.5
FBgn0036656,21,531.797615321352,310.5
FBgn0034128,7,233.68922571174,173.75
FBgn0035692,14,521.224924571152,267.75
FBgn0035624,10,359.690595545033,223.75
FBgn0036843,29,681.051169543361,357.5
FBgn0033476,24,761.382564404326,347
FBgn0034709,22,15.1014905256165,214.75
FBgn0037106,21,203.276831790822,264.5
FBgn0036620,15,1362.59264882314,328.75
FBgn0036617,3,11.8124287022382,64.75
FBgn0036872,1,0,14.5
FBgn0037140,18,474.275760218753,284.5
FBgn0037270,6,93.1251821143307,127.75
FBgn0037217,29,1126.48008462587,386.5
FBgn0037796,8,559.757349515174,225
FBgn0037419,42,839.338666354746,390.5
FBgn0037995,40,568.23491453843,364.25
FBgn0036832,20,295.881085841076,279.25
FBgn0033778,9,35.6696772885269,141.75
FBgn0038354,27,456.927583372125,325
FBgn0032047,11,272.128329630978,221.5
FBgn0033188,22,995.05826475017,352.75
FBgn0036090,22,1058.84238492909,358.25
FBgn0037442,26,968.998763145055,366.5
FBgn0035245,5,36.8869448613273,104
FBgn0036991,10,89.0679895655712,165.25
FBgn0037697,11,214.827799488999,206
FBgn0038491,52,2053.72361768447,441
FBgn0038820,33,254.27227721746,315
FBgn0038818,14,353.119293546018,249.25
FBgn0037368,33,2475.12660861414,426.5
FBgn0035076,9,1400.49677220788,289
FBgn0039273,31,1031.5402886344,386.25
FBgn0034840,2,1,35.25
FBgn0037225,19,1063.51515532697,340
FBgn0038983,21,789.668192559968,336
FBgn0033502,7,133.088126951326,153.25
FBgn0037836,5,22.2030234090438,96.5
FBgn0038439,3,9.64017556790724,63.25
FBgn0003499,24,881.124928574051,354.5
FBgn0000451,1,0,14.5
FBgn0037262,16,1121.12094420531,324
FBgn0003557,19,584.101498819523,303.5
FBgn0037896,8,115.536568287139,156.5
FBgn0039155,32,346.413697451836,327.75
FBgn0038629,14,22.3271992151574,172.25
FBgn0038334,17,286.184764916976,260.25
FBgn0004577,9,15.3551401717295,130
FBgn0004782,4,0.5,60.75
FBgn0038966,10,232.241023400377,200.75
FBgn0003656,25,1778.01055033069,395
FBgn0004449,19,573.178960152373,303
FBgn0004509,32,4291.25850746624,427.75
FBgn0036615,9,257.507803113121,198.5
FBgn0004783,13,96.856556106902,188.75
FBgn0035695,2,0,23.25
FBgn0039481,24,442.664793071956,312
FBgn0039480,10,1.54468490828273,122.25
FBgn0034494,12,163.269617696473,202
FBgn0036619,15,394.27142590885,257.25
FBgn0037324,6,213.63578920498,158.25
FBgn0039932,8,713.593893336906,242
FBgn0036911,9,107.114992550127,161.5
FBgn0003520,12,2821.23990923721,334
FBgn0039916,16,241.147832329788,241.5
FBgn0039944,22,654.477016874675,328.75
FBgn0039028,33,1359.36346227778,404.5
FBgn0003204,24,1347.92763778273,378.5
FBgn0037228,9,187.445795895988,180
FBgn0040038,37,1493.09514728271,415.25
FBgn0039945,25,1154.87441823126,376.5
FBgn0003249,16,657.908962906275,292
FBgn0040271,18,1154.30702626834,340
FBgn0039805,30,88.9876181994002,266.75
FBgn0003301,19,56.4159020204312,213
FBgn0004858,24,1139.37455546754,371
FBgn0037935,5,34.0459744132613,102
FBgn0004370,28,1050.86242665274,379.25
FBgn0004647,17,498.165190118622,281.75
FBgn0040752,33,351.37236097845,330.5
FBgn0003159,3,0,35.75
FBgn0041210,22,810.022950702083,343.75
FBgn0039479,12,183.863925255678,204.5
FBgn0003513,6,94.3018119828887,128.25
FBgn0039525,9,75.7075147947936,152
FBgn0039126,18,1147.55016501863,339
FBgn0003388,4,440,169.5
FBgn0035520,10,353.851194304031,223.25
FBgn0042182,10,167.462687926278,188.5
FBgn0036126,5,6.145422879424,82
FBgn0046706,7,516.538691630912,213.25
FBgn0040211,28,257.106676766389,304.25
FBgn0038526,3,0,35.75
FBgn0005666,3,1.56495008614574,50.25
FBgn0043010,43,1613.89152229507,428.5
FBgn0043534,5,0.180951705696459,70.25
FBgn0051313,8,9.45935859020722,116.5
FBgn0051390,41,844.083157484095,389.25
FBgn0051469,37,968.080923753239,389.25
FBgn0051300,19,1417.51868016311,356
FBgn0041579,3,10.3513133944757,63.75
FBgn0039942,3,129.295735286181,106.25
FBgn0052082,14,780.521172813994,293.25
FBgn0040514,41,4147.44202131619,440.75
FBgn0040637,22,60.6147174898819,233.75
FBgn0050295,30,320.81814657965,321.75
FBgn0050414,28,2027.69511261735,409.75
FBgn0039048,6,95.9206366742818,128.75
FBgn0040028,3,0,35.75
FBgn0052819,3,0,35.75
FBgn0052499,37,668.728848776163,369.25
FBgn0052553,20,762.42630188456,326.75
FBgn0051207,16,659.988869868723,293
FBgn0051248,7,195.317668643308,165.75
FBgn0050274,10,999.090469008562,278.75
FBgn0043362,10,20.905750695217,144.25
FBgn0051084,11,73.3957106731636,170.5
FBgn0061200,26,257.202495719873,298
FBgn0051781,22,752.346015563927,338.75
FBgn0066101,19,112.57071125865,229
FBgn0052638,19,1211.05817052287,349
FBgn0052194,12,702.046467515365,275
FBgn0052580,5,21.7550974461679,96
FBgn0064126,10,167.462687926278,188.5
FBgn0003559,12,49.2527063951276,170.5
FBgn0004516,8,14.4211992027568,120.5
FBgn0083027,39,696.987274478564,375.5
FBgn0041181,17,456.167195975977,275.75
FBgn0050497,11,640.332812831896,260.25
FBgn0085282,17,1153.89679347364,333.75
FBgn0085443,5,87.7482102221318,115.5
FBgn0053208,52,5381.49955376856,449.5
FBgn0051005,12,108.959731135268,187
FBgn0040993,4,8.245550853762,74.5
FBgn0054051,7,113.535588365084,146.25
FBgn0085446,19,868.319092378256,326.5
FBgn0086901,6,498.721346531978,199.25
FBgn0038321,3,447.995921817974,157.75
FBgn0045800,3,1.58674719649986,50.75
FBgn0038720,4,42.9259428926891,96.25
FBgn0043884,13,493.959392813622,256.25
FBgn0086906,12,1096.22654089944,300
FBgn0085412,23,197.944896338134,273.5
FBgn0250788,21,603.431855660879,318
FBgn0085638,23,1007.47115391083,359
FBgn0250871,10,111.274997422429,172.75
FBgn0052495,13,241.22992995558,225.5
FBgn0063649,7,32.9257085326857,122.75
FBgn0083970,27,1975.27199247385,405.5
FBgn0085732,25,2109.26137335858,401
FBgn0053177,9,773.179216742637,255.5
FBgn0259212,30,494.611977652028,338.25
FBgn0260479,25,115.438785445022,261
FBgn0003250,7,1.5969331665965,96.25
FBgn0086251,20,1665.02665535168,368.75
FBgn0259713,17,952.6810951042,320.25
FBgn0051068,3,30.0873826671884,76.25
FBgn0259680,14,941.347742569461,301.25
FBgn0260439,48,1789.67024052407,434.75
FBgn0260746,20,892.072865652735,334.25
FBgn0260653,20,125.561442319707,238.75
FBgn0052137,2,0,23.25
FBgn0259216,17,300.951132754971,262.25
FBgn0261258,15,564.565470004031,276.25
