gene	degree	betweenness	rank
FBgn0000044	724	320.356025757331	865.5
FBgn0000045	466	144.204435012409	409.75
FBgn0000003	927	1028.51275918248	1579.25
FBgn0000046	623	312.835745909316	734.75
FBgn0000054	554	618.478829336517	892.25
FBgn0000057	899	866.129454088865	1484.75
FBgn0000100	272	32.0771421677774	78.5
FBgn0000092	743	595.106452398476	1095
FBgn0000286	822	601.753349848578	1231.5
FBgn0000221	466	444.548953940385	729.25
FBgn0000250	323	84.5058350368872	222.5
FBgn0000330	1142	2041.4193318268	1942.75
FBgn0000121	397	76.4082642746922	238.25
FBgn0000303	454	73.903152572158	272.5
FBgn0000337	899	831.883761280769	1471.75
FBgn0000370	1083	1102.9163117698	1759.25
FBgn0000279	252	20.8426878481007	50
FBgn0000376	1370	2694.81639054566	2107.5
FBgn0000392	806	877.625093122666	1327.25
FBgn0000414	1178	1657.24345249144	1928.5
FBgn0000449	399	78.7166951133258	243.5
FBgn0000451	462	108.590506056945	346.75
FBgn0000497	1119	2216.98214629279	1940.5
FBgn0000499	890	766.118117975632	1437.5
FBgn0000489	736	449.252148492825	1000
FBgn0000662	1112	1350.68826040825	1830.75
FBgn0001075	947	815.747728937771	1534.25
FBgn0000547	377	56.3265560430723	177.5
FBgn0000658	947	1642.47278776117	1712.25
FBgn0001112	470	142.856328515865	410.5
FBgn0001086	641	356.466805403157	787.5
FBgn0000615	797	71.4058180335427	646.25
FBgn0001206	746	474.716411064538	1034.75
FBgn0001133	496	324.003458421758	643.25
FBgn0001226	197	43.3018631982297	79
FBgn0001227	827	475.625721455024	1173.25
FBgn0001229	787	988.624064020659	1330.5
FBgn0001233	234	48.0419553968377	99.25
FBgn0001234	506	188.669710821776	499.5
FBgn0001248	611	216.02337600425	619.5
FBgn0001253	734	392.640996515694	954.75
FBgn0001301	1186	1686.34655854251	1942.25
FBgn0001217	773	75.9822878324537	615.75
FBgn0001311	1185	1949.74026306353	1971.25
FBgn0001313	1011	886.438240836402	1638.75
FBgn0001291	184	38.7657301899803	67
FBgn0001321	818	898.571677483127	1355.25
FBgn0001961	1123	1898.94517450233	1916
FBgn0001324	711	467.282650214426	966.5
FBgn0002183	918	792.146024661671	1484.75
FBgn0002525	895	580.37930382733	1352
FBgn0002576	1164	2329.7577409563	1988
FBgn0002569	187	12.363245719149	23.25
FBgn0002783	1232	1814.16675380943	1983.5
FBgn0002873	509	207.772335529454	529
FBgn0002909	1300	2709.79748668852	2087.5
FBgn0001320	389	64.701074492816	201.25
FBgn0002940	746	382.610914730956	963.25
FBgn0031844	1030	1014.11486950565	1697
FBgn0002869	434	207.686993603688	469
FBgn0031850	831	455.938699098463	1165.75
FBgn0002862	847	236.986479674501	1000.25
FBgn0002939	457	231.595291142941	526
FBgn0031853	921	244.546241991704	1123.5
FBgn0031856	698	384.022979780218	882.5
FBgn0031861	652	254.075317923331	705
FBgn0031851	920	994.701376234527	1556.25
FBgn0031879	776	524.831181795713	1113.5
FBgn0031878	1054	1253.53324392018	1769
FBgn0031908	1099	1487.73756138176	1835.5
FBgn0031888	1133	1580.62584794605	1882.5
FBgn0031926	542	192.790847042621	530.25
FBgn0031940	1454	3446.6241571403	2148
FBgn0031925	545	123.052599723195	425
FBgn0031859	743	60.1600434399981	526.5
FBgn0031941	801	445.512284688709	1110
FBgn0031942	1238	1886.71835865623	1993
FBgn0031959	1160	1529.71961897343	1896.25
FBgn0031954	888	185.406504087931	997.25
FBgn0032003	1000	514.308104401973	1455
FBgn0031973	701	772.394283670594	1108.75
FBgn0032004	1343	3143.24491576357	2120
FBgn0032039	1162	1111.92458926319	1827.75
FBgn0032061	777	56.5165613760654	576
FBgn0032065	1076	628.607246918118	1583.25
FBgn0032072	844	358.223613993457	1110
FBgn0032090	824	726.463874847027	1297
FBgn0032026	707	521.160105226173	994.5
FBgn0032111	939	302.661290965685	1208.5
FBgn0031971	753	327.28679164473	924.5
FBgn0032143	1329	3092.18684220173	2112
FBgn0032175	776	580.707229565557	1141.5
FBgn0032181	665	367.900696974446	831
FBgn0032192	1232	2076.21276681495	2011.5
FBgn0032213	636	248.247704786657	682.25
FBgn0032217	1060	1010.03945930034	1719.5
FBgn0031974	269	72.1767993172061	166.75
FBgn0032219	745	58.1963162152034	524.75
FBgn0032224	925	858.188042027975	1516
FBgn0032269	715	45.8687724406	441.25
FBgn0032266	1100	1669.35045930794	1865.5
FBgn0032252	729	659.75265153282	1099
FBgn0032276	806	146.008483744277	798.75
FBgn0032312	918	502.086548971202	1340.25
FBgn0032313	1008	1120.96424108948	1700.25
FBgn0032286	293	49.1656566620992	122.75
FBgn0032340	933	758.911021653164	1496
FBgn0032341	630	302.562846411466	726.75
FBgn0032314	822	96.8653690006848	738.5
FBgn0032348	672	684.671290081248	1036.75
FBgn0032362	844	713.812756096496	1329
FBgn0032360	664	16.055153190291	321.5
FBgn0032369	929	755.566821509805	1486.75
FBgn0032370	874	199.274301097103	989.5
FBgn0032372	796	129.695343154064	749.25
FBgn0032374	1022	526.573222769931	1486.75
FBgn0032385	1313	2650.50257479518	2085.75
FBgn0032402	795	421.61401364387	1078.5
FBgn0032409	577	292.941007044657	673.75
FBgn0032414	563	164.961907882643	506
FBgn0032424	951	397.329139186004	1313
FBgn0032430	1184	2152.94179858627	1987.75
FBgn0032433	676	578.519816324536	987.25
FBgn0032444	944	1249.78596002357	1650.75
FBgn0032457	758	67.4092240461809	566.75
FBgn0032464	1012	479.422319559315	1448
FBgn0032478	605	327.4007233038	732
FBgn0032471	740	142.913777344469	680.5
FBgn0032483	525	190.978490516014	515.25
FBgn0032512	857	530.018754476358	1262.5
FBgn0032513	1112	1277.35278483317	1817.25
FBgn0032494	552	433.301514988758	779
FBgn0032515	1180	2653.49910536676	2020.75
FBgn0032519	1179	1419.17185644274	1893
FBgn0032006	120	17.9304462813565	19.5
FBgn0032514	918	821.462071478744	1494.75
FBgn0032520	837	201.838009745493	927.75
FBgn0032525	675	68.8498528199685	447
FBgn0032521	994	1305.64952239542	1721.25
FBgn0032495	376	54.4958421348869	172.25
FBgn0032530	763	285.399717142572	899
FBgn0032538	1307	2819.67798099974	2094
FBgn0032553	944	449.655573024675	1346.75
FBgn0032554	889	239.328132791265	1074.5
FBgn0032563	807	93.9115303867743	712.5
FBgn0032577	881	1125.55475131394	1529.25
FBgn0032588	967	346.644881334201	1281.25
FBgn0032590	799	95.8372437900543	701.5
FBgn0032626	765	132.286888711922	705.5
FBgn0032587	449	180.972588391731	445.75
FBgn0032637	1101	1210.6536465156	1793.5
FBgn0032650	707	38.2056945424755	415
FBgn0032648	722	358.588862397976	896.25
FBgn0032654	799	98.2881504221589	706.5
FBgn0032664	1230	1808.61082041814	1981
FBgn0032613	618	209.555424507332	615.75
FBgn0032684	582	332.744925022551	715.75
FBgn0032677	706	25.4217780537699	387.75
FBgn0032656	543	215.876251744519	564.5
FBgn0032707	1171	2542.92562693986	2008
FBgn0032709	998	604.90019758862	1500.25
FBgn0032721	1233	2014.05212514661	2005.5
FBgn0032535	237	49.5236772351576	104.5
FBgn0032727	1206	2246.32180309691	2009
FBgn0032729	425	100.081573028402	301.25
FBgn0032730	1042	1380.81926839388	1779.25
FBgn0032755	675	27.7865301395983	356.75
FBgn0032768	1039	612.576631083386	1543.75
FBgn0032731	881	995.099432656073	1496.75
FBgn0032769	733	602.600643648415	1083.25
FBgn0032775	1101	1430.24162178419	1831
FBgn0032771	756	102.561411034211	638.5
FBgn0032781	1250	1869.35949989355	1994
FBgn0032803	1223	3199.58946873156	2072
FBgn0032812	734	568.79386219384	1070.25
FBgn0032814	1257	2608.68502033079	2059.5
FBgn0032819	875	652.349077340946	1352
FBgn0032660	410	169.933050617235	401
FBgn0032867	1209	1271.09859898178	1892.5
FBgn0032869	860	112.177977275108	834
FBgn0032878	931	248.419058316586	1148
FBgn0032805	394	106.746444450487	292.5
FBgn0032857	558	143.50854833927	470.5
FBgn0032895	763	727.168002961715	1194.5
