gene,degree,betweenness,rank
FBgn0000376,1,0,263.5
FBgn0031859,18,248.365628338912,986.75
FBgn0032003,7,1954.13653884996,1013.5
FBgn0002862,6,1194,967.5
FBgn0032360,4,15.0174894479128,767.5
FBgn0032521,1,0,263.5
FBgn0032721,3,3,689.5
FBgn0032554,3,2201.28554169226,897.75
FBgn0032314,6,1185.74058048886,966.5
FBgn0002909,3,1.5,677
FBgn0032464,4,246.302639891873,832.5
FBgn0031888,1,0,263.5
FBgn0032061,6,793.784227617588,945
FBgn0032969,4,1747.3688750256,934
FBgn0031942,4,179.633333333333,821
FBgn0032374,8,942.749926819108,990
FBgn0032878,5,679.794696442688,914.25
FBgn0000615,8,748.940248569499,979.5
FBgn0032269,22,1092.83010608527,1070.25
FBgn0032065,8,2392.68920310371,1040
FBgn0000489,1,0,263.5
FBgn0033286,20,1988.09756905242,1096.75
FBgn0032677,14,3543.93092009427,1105.75
FBgn0033287,9,1532.32418457947,1031
FBgn0034121,23,412.590233965231,1015.5
FBgn0032819,1,0,263.5
FBgn0032869,17,3541.93378830714,1116.25
FBgn0034122,4,4331.08627479536,972
FBgn0032520,9,809.016265957822,996
FBgn0033020,9,1603.38477975956,1034
FBgn0032588,4,120.153971690893,810
FBgn0033195,1,0,263.5
FBgn0033819,13,4909.34208060576,1111
FBgn0034464,17,3860.94548913967,1119.75
FBgn0034477,5,1037.75193157257,938.25
FBgn0034435,10,4350.04599260128,1085.75
FBgn0034467,12,3219.28843964596,1088.75
FBgn0034132,9,249.228871798184,936.5
FBgn0034844,3,330.008155687274,793.75
FBgn0034824,24,4864.52489511519,1138.5
FBgn0032867,5,948.746153895172,930.25
FBgn0034651,4,87.5603671975904,803
FBgn0035021,3,3.20238095238095,692.75
FBgn0035022,4,988.763614355363,905
FBgn0033969,4,178.939832616304,820.5
FBgn0033339,3,3,689.5
FBgn0033279,3,73.7455759802541,749.25
FBgn0032781,1,0,263.5
FBgn0034129,4,12,764
FBgn0032755,5,227.632137669973,859.5
FBgn0033667,1,0,263.5
FBgn0033308,6,135.316666666667,867
FBgn0032276,8,85.41933139127,893.5
FBgn0035007,14,4792.79260577309,1114.75
FBgn0035491,2,0,429.75
FBgn0032769,1,0,263.5
FBgn0000100,3,2,681.5
FBgn0033056,3,426.239814347494,806.25
FBgn0034560,20,7783.65408383145,1141.75
FBgn0035598,13,9432.77885465363,1120
FBgn0001301,4,12,764
FBgn0031954,4,795.37801866689,892
FBgn0034957,2,0,429.75
FBgn0035004,5,225.318718363393,858.75
FBgn0035971,5,555.998324817292,905.25
FBgn0034816,5,1438.10861406427,955.25
FBgn0035786,7,354.57321431353,920
FBgn0032402,1,0,263.5
FBgn0034010,1,0,263.5
FBgn0034483,3,506.093043153935,821.75
FBgn0033705,3,483,814.75
FBgn0035161,2,0,429.75
FBgn0036125,5,5540.79167654212,1010.25
FBgn0034840,7,107.966727997354,881
FBgn0036169,1,0,263.5
FBgn0032471,3,2.08333333333333,684.25
FBgn0032111,2,483,736
FBgn0033285,7,848.783543713562,970.5
FBgn0034105,8,570.892596877883,968
FBgn0031878,1,0,263.5
FBgn0032664,3,3345,915.25
FBgn0034826,5,7624.18884249536,1014.75
FBgn0034975,3,0,508.5
FBgn0034641,1,0,263.5
FBgn0035047,2,483,736
FBgn0035709,6,426.385793454227,909
FBgn0034246,3,0.5,658.5
FBgn0035299,3,1920,889.75
FBgn0033371,1,0,263.5
FBgn0033542,1,0,263.5
FBgn0033888,5,3442.47318476191,995.75
FBgn0033981,2,964,775.5
FBgn0034974,1,0,263.5
FBgn0034827,5,193.942947256791,853.75
FBgn0035568,5,142.165204360871,847.25
FBgn0036329,10,1550.89794819836,1043.25
FBgn0035124,4,1347.04052933697,922.5
FBgn0035782,3,483,814.75
FBgn0036497,3,6130.53024955333,933.25
FBgn0032971,1,0,263.5
FBgn0034082,8,795.585841003055,983.5
FBgn0033438,1,0,263.5
FBgn0037461,7,416.208045765399,928.5
FBgn0032369,1,0,263.5
FBgn0032590,1,0,263.5
FBgn0037463,4,262.947864902442,835
FBgn0037530,2,21,646.5
FBgn0034546,3,0,508.5
FBgn0036160,4,7250.45953179868,982.5
FBgn0036609,9,4117.84629812488,1073.5
FBgn0036505,2,6,625.25
FBgn0037297,1,0,263.5
FBgn0037147,15,2297.66411338476,1090.25
FBgn0037456,5,56.9251751727228,820.75
FBgn0036311,10,1303.23981656013,1031.75
FBgn0037101,10,3626.08142537793,1079.75
FBgn0035776,13,2655.95625723787,1090
FBgn0033188,2,0,429.75
FBgn0036703,2,1,590.75
FBgn0036441,2,483,736
FBgn0036805,1,0,263.5
FBgn0034173,2,483,736
FBgn0033984,2,1,590.75
FBgn0035679,1,0,263.5
FBgn0033238,4,371.269662866076,847.5
FBgn0036895,10,4102.36858672385,1083.75
FBgn0034866,1,0,263.5
FBgn0035823,14,6079.67333871349,1120.25
FBgn0035988,14,2749.2389879667,1098.25
FBgn0036438,10,1795.85994821855,1049.25
FBgn0035924,6,138.62833312758,869
FBgn0032650,5,199.233524889467,854.75
FBgn0032637,2,1,590.75
FBgn0036597,1,0,263.5
FBgn0037860,21,4763.38177863676,1133.25
FBgn0033354,4,3,737.75
FBgn0038359,10,1212.44297108256,1028.25
FBgn0033730,4,93,803.5
FBgn0031853,8,1381.27875746205,1014
FBgn0033357,7,38.9666666666667,853.5
FBgn0035335,2,0,429.75
FBgn0038589,6,42.5,840.5
FBgn0035265,3,3361.50355097881,915.75
FBgn0037987,13,2190.86167862855,1079.5
FBgn0037862,14,3269.36863714167,1102.25
FBgn0038355,10,567.855186287647,989.75
FBgn0033863,5,648.16712651939,910.25
FBgn0033862,1,0,263.5
FBgn0037828,13,760.696068132215,1023
FBgn0002783,3,9,711.75
FBgn0038248,5,18.1246193080347,801.75
FBgn0035380,1,0,263.5
FBgn0034828,1,0,263.5
FBgn0035455,1,0,263.5
FBgn0033728,3,214.45,778.25
FBgn0038208,12,2117.10166768439,1070.25
FBgn0034144,14,544.593732521327,1012.75
FBgn0033814,2,1,590.75
FBgn0035968,1,0,263.5
FBgn0032217,2,85,675
FBgn0035977,2,2,602.75
FBgn0038078,1,0,263.5
FBgn0035162,2,0,429.75
FBgn0033454,2,0,429.75
FBgn0039308,2,0,429.75
FBgn0037924,1,0,263.5
FBgn0031941,1,0,263.5
FBgn0038697,5,109.167678933787,838.25
FBgn0039366,8,112.107898388593,899.75
FBgn0036652,5,4752,1004.75
FBgn0039071,15,1409.3985053075,1066.75
FBgn0038210,5,17.0549059720523,800.25
FBgn0038630,8,1494.82250427728,1018.5
FBgn0039104,19,2297.76117563623,1102.75
FBgn0039246,3,0,508.5
FBgn0037939,8,781.005255816718,981
FBgn0038797,7,678.242344670067,957
FBgn0032424,6,730.59468989595,941.5
FBgn0036443,1,0,263.5
FBgn0036828,1,0,263.5
FBgn0032814,2,1,590.75
FBgn0032090,1,0,263.5
FBgn0036415,5,272.791570134367,867.25
FBgn0034907,10,191.796118438818,935.25
FBgn0037191,7,14.3582954313657,841
FBgn0038486,2,0.2,575.5
FBgn0004172,7,4.1625,821.75
FBgn0038708,16,1827.00752234354,1083.75
FBgn0000092,1,0,263.5
FBgn0033872,3,0.5,658.5
FBgn0039027,1,0,263.5
FBgn0034471,2,0,429.75
FBgn0033017,1,0,263.5
FBgn0035430,4,56.5,789.5
FBgn0035713,2,42,657
FBgn0038733,1,0,263.5
FBgn0039145,2,0,429.75
FBgn0031940,4,352.366666666667,844.5
FBgn0004780,3,122,763.25
FBgn0002869,1,0,263.5
FBgn0032538,3,42,735.75
FBgn0005664,3,156,769.75
FBgn0037829,9,394.774964692866,954
FBgn0036808,1,0,263.5
FBgn0035657,1,0,263.5
FBgn0037486,7,1541.28121765974,1003.5
FBgn0038225,6,1795.3988081442,989.5
FBgn0034693,2,0,429.75
FBgn0039244,1,0,263.5
FBgn0038126,1,0,263.5
FBgn0000662,1,0,263.5
FBgn0032925,1,0,263.5
FBgn0001311,1,0,263.5
FBgn0032004,2,483,730
FBgn0037664,9,794.953132636858,994
FBgn0038209,6,1758.57192547764,988.5
FBgn0003889,3,2.3498542851484,684.75
FBgn0034985,1,0,263.5
FBgn0038000,1,0,263.5
FBgn0038423,7,1916.07930700149,1012
FBgn0034443,2,0,429.75
FBgn0039306,1,0,263.5
FBgn0033864,5,791.415107511304,921.25
FBgn0003716,2,120,682.5
FBgn0035003,1,0,263.5
FBgn0035915,8,5163.45639572291,1068.5
FBgn0039796,13,1180.61720771054,1046
FBgn0034645,3,2,681.5
FBgn0036728,2,1,590.75
FBgn0004854,4,121,810.5
FBgn0039425,3,0,508.5
FBgn0036567,3,0,508.5
FBgn0038590,3,3.31666666666667,693.25
FBgn0033330,4,325.923401405572,841.5
FBgn0035196,4,346.898067522893,843.5
FBgn0000658,1,0,263.5
FBgn0039234,1,0,263.5
FBgn0039694,1,0,263.5
FBgn0033868,5,20.2650123346852,802.25
FBgn0036082,3,1.4747031299194,676.25
FBgn0037455,2,483,736
FBgn0040382,3,388.216666666667,802.25
FBgn0036785,1,0,263.5
FBgn0004171,9,1245.15535088015,1019
FBgn0037616,6,1307.3299236652,973.5
FBgn0038448,1,0,263.5
FBgn0004173,10,241.726117461334,943.75
FBgn0004174,10,27.2840694061873,890.25
FBgn0004175,25,1208.03550808153,1078
FBgn0040519,22,4878.5034008524,1137.25
FBgn0038337,1,0,263.5
FBgn0036162,3,0,508.5
FBgn0042189,5,16.4559465003283,799.75
FBgn0046294,10,505.830872009888,982.75
FBgn0038539,8,335.000615351331,933.75
FBgn0039518,7,1200.28332024506,988.5
FBgn0035844,2,8,630.5
FBgn0039481,1,0,263.5
FBgn0039792,10,672.141360076919,995.25
FBgn0038385,1,0,263.5
FBgn0035228,1,0,263.5
FBgn0036038,2,21,646.5
FBgn0033369,1,0,263.5
FBgn0038200,11,7351.95119924184,1105
FBgn0047351,8,3692.36762059134,1058
FBgn0038694,11,1132.62307626509,1033.5
FBgn0039797,15,2562.27127735662,1095.75
FBgn0034658,1,0,263.5
FBgn0036905,6,138.621404845909,868.25
FBgn0039373,3,715.264917131238,838.75
FBgn0032213,1,0,263.5
FBgn0039491,9,237.393676354427,932
FBgn0046332,16,5331.79055744607,1126.25
FBgn0036784,4,0,556.75
FBgn0033168,5,1557.57148764184,961.25
FBgn0050364,7,2718.59765332511,1032.25
FBgn0050363,9,305.348464973272,942.25
FBgn0045827,27,2430.64050825459,1115
FBgn0039367,8,112.107898388593,899.75
FBgn0003598,2,0,429.75
FBgn0050461,2,0,429.75
FBgn0050039,5,1319.86498763825,951.25
FBgn0032894,1,0,263.5
FBgn0050378,3,1443,877.25
FBgn0035245,4,7,755
FBgn0032553,3,10.8557842251664,713.75
FBgn0050366,9,305.348464973272,942.25
FBgn0032563,2,0,429.75
FBgn0003279,1,0,263.5
FBgn0050430,9,310.890749622092,943
FBgn0051099,2,0,429.75
FBgn0000414,4,5.5,750
FBgn0050275,20,4868.23193762465,1133.25
FBgn0042094,1,0,263.5
FBgn0036075,2,193.380220002108,695.5
FBgn0051281,4,678.249987799853,883
FBgn0038127,3,0,508.5
FBgn0035384,3,1.95555555555556,678.75
FBgn0051245,3,290.481214608307,789.25
FBgn0037040,7,196.365773546585,898
FBgn0051327,12,370.044537567932,974.25
FBgn0038377,2,0,429.75
FBgn0043025,4,215.590728033359,827
FBgn0050365,7,2718.59765332511,1032.25
FBgn0039501,7,907.996285485213,972.5
FBgn0039370,3,483,814.75
FBgn0036687,1,0,263.5
FBgn0003187,7,2170.61078785778,1019
FBgn0039576,4,5.56666666666667,750.5
FBgn0038655,7,1268.43737017419,992
FBgn0050487,7,1249.03992670091,991.5
FBgn0038163,9,2654.81447103379,1058
FBgn0039707,13,3850.94465270426,1102.5
FBgn0051639,6,6.13883917252589,808
FBgn0050350,11,823.38133289401,1017.5
FBgn0036325,1,0,263.5
FBgn0051226,22,2446.34340589471,1112.75
FBgn0035008,2,0,429.75
FBgn0051773,4,390.582483401245,851
FBgn0051029,6,245.23912350344,886
FBgn0033860,6,873.31829825645,951
FBgn0036426,1,0,263.5
FBgn0050412,9,140.877807965384,918
FBgn0032483,1,0,263.5
FBgn0037506,8,803.819323196574,984
FBgn0051804,11,3099.37427200149,1083
FBgn0051874,13,2645.43616881114,1089
FBgn0046297,12,293.003171671543,965.25
FBgn0035464,1,0,263.5
FBgn0051391,10,699.087624673001,997.25
FBgn0036345,1,0,263.5
FBgn0032626,1,0,263.5
FBgn0051141,8,1068.92534914414,1000
FBgn0042641,1,0,263.5
FBgn0036490,2,0,429.75
FBgn0032370,1,0,263.5
FBgn0042198,5,1474.38427740637,957.25
FBgn0040794,4,73,797
FBgn0040816,2,0,429.75
FBgn0052298,2,0,429.75
FBgn0052106,16,2357.18555776428,1095.25
FBgn0003132,5,5.08333333333333,780.25
FBgn0038979,6,607.153037785797,932
FBgn0039395,2,483,736
FBgn0040371,4,16.2960495419937,768.5
FBgn0050376,17,182.234893068532,972.25
FBgn0036156,2,0,429.75
FBgn0031971,3,40,732.75
FBgn0033367,4,40,781
FBgn0038525,4,96,804.25
FBgn0039215,3,96,756
FBgn0001961,1,0,263.5
FBgn0051542,12,379.437898452435,976.5
FBgn0052437,6,1128.82463184727,965
FBgn0032430,1,0,263.5
FBgn0003089,1,0,263.5
FBgn0046793,9,2634.67320253749,1057
FBgn0051882,3,145.460081069033,769.25
FBgn0052445,20,509.638864653577,1027.75
FBgn0052119,5,3334.62664836067,993.75
FBgn0032039,1,0,263.5
FBgn0032768,1,0,263.5
FBgn0051858,1,0,263.5
FBgn0051788,6,302.16683978941,893
FBgn0051954,1,0,263.5
FBgn0037707,3,7,706.75
FBgn0000044,2,0,429.75
FBgn0033322,1,0,263.5
FBgn0035952,2,0,429.75
FBgn0034950,1,0,263.5
FBgn0034459,3,544.777407444243,825.25
FBgn0051538,9,1669.78873474939,1035.5
FBgn0034825,3,1101.53356326951,861.75
FBgn0038130,1,0,263.5
FBgn0003295,1,0,263.5
FBgn0053664,1,0,263.5
FBgn0052703,2,0,429.75
FBgn0033693,1,0,263.5
FBgn0040773,5,3.33333333333333,773
FBgn0051121,1,0,263.5
FBgn0052351,22,7200.0672519913,1142.75
FBgn0004516,2,0,429.75
FBgn0004580,2,0,429.75
FBgn0053669,3,0.5,658.5
FBgn0038541,1,0,263.5
FBgn0039343,5,1020.82979242801,936.75
FBgn0051693,13,1743.22287343122,1067.5
FBgn0052436,10,2169.38444781638,1057.25
FBgn0042182,1,0,263.5
FBgn0053082,3,0.5,658.5
FBgn0037644,1,0,263.5
FBgn0066303,1,0,263.5
FBgn0001227,2,0,429.75
FBgn0037896,1,0,263.5
