gene,degree,betweenness,rank
FBgn0000003,368,92.8244659233518,228.5
FBgn0000042,189,71.3178268672286,116.5
FBgn0000063,1101,1646.07419299964,1488.75
FBgn0000083,285,95.3383023850438,185.5
FBgn0000092,981,1057.99455094843,1345.25
FBgn0000120,610,329.297423467126,672.25
FBgn0000121,370,92.3308053628479,229.25
FBgn0000253,588,267.057628713781,593.75
FBgn0000084,682,482.880685455271,855.5
FBgn0000299,289,21.3069800771343,88.5
FBgn0000319,627,213.13708275989,576
FBgn0000337,855,835.79577323586,1179.25
FBgn0000182,179,20.8043493688314,43
FBgn0000358,235,60.3946952572701,117.5
FBgn0000359,509,185.397673641963,444.75
FBgn0000351,932,572.865518064636,1129.5
FBgn0000360,688,418.758497803123,821
FBgn0000370,406,105.088536873972,275
FBgn0000414,768,537.080705756321,968.5
FBgn0000426,609,239.385005801068,582
FBgn0000451,626,202.146368137578,564
FBgn0000504,574,355.812872082504,657.75
FBgn0000535,647,350.215374820301,723.5
FBgn0000422,232,11.5865653883089,50
FBgn0000536,855,556.343508434717,1057.75
FBgn0000404,388,167.521675714126,335
FBgn0000592,335,50.4602950737751,150.75
FBgn0001086,599,363.885113995959,689.75
FBgn0000449,557,176.63402249927,464.75
FBgn0001227,452,205.767137477143,419.75
FBgn0000711,975,734.88686104215,1241.5
FBgn0001150,459,119.238521491502,331.25
FBgn0001229,680,292.348096009735,705.25
FBgn0001233,622,293.098503007052,649
FBgn0001234,774,710.965145541033,1060.25
FBgn0001235,840,556.809413986801,1045.75
FBgn0001281,1110,1038.10717546042,1432.75
FBgn0001285,235,39.7629774859035,86.5
FBgn0001624,991,735.889069353788,1255.5
FBgn0001311,418,217.230523640917,412
FBgn0001989,524,123.267798053019,385.25
FBgn0001089,345,73.0325915650094,191.5
FBgn0002283,382,108.798936717328,262.5
FBgn0002525,937,769.909218741754,1222
FBgn0002542,458,155.120876620811,364.75
FBgn0002579,508,103.834120491061,349
FBgn0002645,939,636.002989645725,1167.5
FBgn0002868,903,509.920930179561,1069.25
FBgn0002526,265,14.3508931831654,69
FBgn0002924,807,641.321918748421,1060.5
FBgn0002936,374,165.906209292166,319.75
FBgn0002948,1049,1102.92547145611,1405
FBgn0002938,412,70.1134786661357,232.75
FBgn0003016,807,318.686623475636,856.5
FBgn0002869,432,131.865731496312,325.25
FBgn0003053,737,234.359493558651,703.25
FBgn0031850,664,341.865861260336,736.25
FBgn0031886,1053,829.604165061772,1342.25
FBgn0031881,320,133.92355877077,252
FBgn0002962,195,48.0654191051724,82
FBgn0031909,904,393.06457287678,990.75
FBgn0031940,451,178.939619764316,387.25
FBgn0031972,1044,958.422857086655,1366.25
FBgn0031977,1064,1056.62974028718,1409.5
