gene	degree	betweenness	rank
FBgn0000092	239	325.430215616176	347.25
FBgn0000003	122	51.1080996094506	124.75
FBgn0000182	65	15.3500891228321	50.75
FBgn0000358	92	53.5404200666747	109.25
FBgn0000359	156	173.158096572408	234.75
FBgn0000360	211	396.402097856592	334.5
FBgn0000404	156	137.304000496833	212.75
FBgn0000451	163	89.6704795168427	182.75
FBgn0000337	212	179.287050034001	281.25
FBgn0001086	194	192.405699214656	273.75
FBgn0001233	188	254.20378675464	290.5
FBgn0001281	263	145.729303958057	312.25
FBgn0001311	148	205.892230482333	250.25
FBgn0002868	226	100.076989171759	238.75
FBgn0001285	71	6.75837094423854	44.75
FBgn0002948	248	194.761094507375	326.75
FBgn0002869	131	114.014505219002	176.75
FBgn0002962	87	34.6015850239268	88.5
FBgn0031886	258	169.356046003786	321.75
FBgn0031940	156	189.957876752576	247.75
FBgn0031979	286	316.921277597997	394.25
FBgn0032057	232	141.489280578091	273
FBgn0032299	45	5.71510655684227	23.5
FBgn0032414	271	247.66063349962	368.25
FBgn0032483	259	194.597542666051	340.5
FBgn0032538	264	521.928083475056	397
FBgn0032582	71	23.2149977409147	64.75
FBgn0032109	104	73.5661266536417	133.25
FBgn0032602	164	114.116904387607	200.25
FBgn0032789	217	120.847312313863	245.25
FBgn0002526	45	1.33993605350536	16.5
FBgn0032805	270	313.569369545969	378
FBgn0033190	273	284.152243450898	379.75
FBgn0033207	209	165.824517240171	267.25
FBgn0033340	243	178.256737823652	305.25
FBgn0032856	42	1.7958538917709	15
FBgn0003046	31	3.26492329303687	13.5
FBgn0033357	245	118.481835369969	271.25
FBgn0033442	274	417.159536189909	400.75
FBgn0033498	154	62.7317642558925	156.75
FBgn0033367	60	7.22908694141412	35.5
FBgn0033308	122	100.823589304133	161.75
FBgn0033501	206	70.567013314284	199.75
FBgn0033730	184	137.401371846132	229
FBgn0033731	44	42.6644055987035	62.5
FBgn0033798	261	351.756510087079	379.5
FBgn0033834	78	66.1264834495959	106
FBgn0033836	196	314.231700461617	306.75
FBgn0033724	131	56.9391321284096	135.75
FBgn0033936	276	208.92533159786	364.5
FBgn0034010	252	279.54207791867	357.5
FBgn0034098	167	137.655036924085	220.25
FBgn0033830	30	2.31828343883558	12.5
FBgn0034330	119	75.9075220393071	141.5
FBgn0034335	76	30.6350296676614	77.25
FBgn0034245	224	111.043386772258	243.75
FBgn0034301	154	20.5843609799532	120.75
FBgn0034440	188	127.00200560968	226
FBgn0034442	249	148.87860963952	298.5
FBgn0034474	147	73.8779161671563	160.25
FBgn0034475	184	70.2929476309901	178.5
FBgn0034614	289	335.283920497455	401
FBgn0034646	296	443.241190300141	416
FBgn0034709	155	95.4552605507769	182.5
FBgn0034687	256	142.717475121493	302
FBgn0034670	87	24.946004733972	79
FBgn0034785	121	61.3798724277431	131.75
FBgn0034800	234	102.322548779859	246.5
FBgn0034924	221	111.660940586694	241.5
FBgn0034928	279	188.422116408314	353.5
FBgn0034957	243	184.989655671849	311.75
FBgn0035031	285	237.647038639274	377.5
FBgn0035076	167	111.164504839709	199.75
FBgn0035099	259	186.274405306396	335.5
FBgn0034407	53	8.33705967349841	33
FBgn0035143	91	59.4771849537357	112.75
FBgn0035138	288	272.843037722295	387.75
FBgn0035439	103	107.096009309554	154.75
FBgn0035281	100	74.3862150399573	130.75
FBgn0035694	198	87.9556879169773	207
FBgn0035510	103	17.9604174626309	84.25
FBgn0035795	131	143.104413724865	199.25
FBgn0035880	283	218.882850611444	371.25
FBgn0035918	182	164.078731820048	243
FBgn0035952	170	62.3001379296732	165.5
FBgn0035977	200	330.900634877141	314.25
FBgn0036118	272	175.916227779906	336.5
FBgn0036168	196	104.067308756152	214.75
FBgn0036181	88	68.0351969766452	115.5
FBgn0036417	254	283.754075657513	359.75
FBgn0036617	186	315.038408347873	298.75
FBgn0036587	83	21.0527305157092	74
FBgn0036619	153	120.527227203504	198.25
FBgn0036629	268	169.070153161381	328.5
FBgn0036575	58	9.82354439286293	38.5
FBgn0036599	61	11.563205512194	43
FBgn0036690	116	76.2824810365591	140.5
FBgn0036667	266	171.599444624756	330
FBgn0036656	66	11.5115274478351	47.75
FBgn0036677	68	31.3041800787278	71
FBgn0037042	234	141.995706376517	276
FBgn0036618	67	10.0846952817259	46.5
FBgn0037065	166	124.860309735164	210.75
FBgn0036751	46	28.6379129011512	53
FBgn0036833	119	43.4907247327351	116.5
FBgn0037115	283	320.27422209118	391.25
FBgn0036979	112	35.1622092011624	105.25
FBgn0037122	222	75.0090044571853	217
FBgn0037222	256	415.388333685278	382
FBgn0037419	275	357.029472617786	393
FBgn0037488	272	322.32217397839	383.5
FBgn0037396	111	78.3352552435153	141
FBgn0037797	109	52.9789098300824	118
FBgn0037915	244	110.18242960807	260.5
FBgn0037970	269	213.556706412301	358.75
FBgn0036978	39	0.745622484575667	11.25
FBgn0037995	137	56.909657958852	141
FBgn0038045	251	125.178991088042	286
FBgn0036717	43	24.0505010712548	43
FBgn0038148	272	331.659828927918	385.5
FBgn0038242	203	380.508630381736	325.5
FBgn0038315	245	119.789255327311	272.25
FBgn0038002	81	27.832212170418	79.5
FBgn0038448	243	112.155192742116	261.75
FBgn0038469	63	14.9048800561861	48.5
FBgn0038142	102	32.6786233777656	98
FBgn0035790	17	2.26304360252245	8.25
FBgn0038009	39	11.4438776488933	27.25
FBgn0038466	78	47.9370279754224	93.5
FBgn0038852	94	76.8718988509806	130
FBgn0038676	99	43.2375351689174	105.25
FBgn0038525	201	188.494450988932	277.75
FBgn0038958	245	142.267632335963	288.75
FBgn0038967	210	326.675926415092	322.25
FBgn0039028	53	4.39640498238564	26
FBgn0039051	113	71.3001588089212	135.75
FBgn0039052	191	236.871859533794	288
FBgn0038977	198	114.478737403958	225
FBgn0003137	118	47.2963765963035	118
FBgn0003189	212	149.409046256064	262.75
FBgn0038909	50	34.7746779191188	60
FBgn0039155	206	282.408375940649	313.25
FBgn0039217	85	29.0268650974687	83.5
FBgn0003257	232	278.319061845475	332.5
FBgn0003979	258	316.880769182015	369.75
FBgn0004431	217	384.109036065677	336.75
FBgn0004777	175	469.487286404602	311.75
FBgn0004783	285	370.274995677957	403
FBgn0039504	234	129.700354264665	270.5
FBgn0039611	246	163.301986515288	301.5
FBgn0039616	185	178.26966501931	256.75
FBgn0039480	112	84.2815487324033	145.25
FBgn0039621	153	70.3664532777429	160.25
FBgn0039687	297	357.210738792508	406.5
FBgn0004240	77	40.7853021973569	86
FBgn0039769	222	250.900819865839	319
FBgn0039805	100	71.2050641336474	127.75
FBgn0039809	298	477.400009918917	418.5
FBgn0004191	21	0.845383194586935	6.5
FBgn0039848	193	169.19056580141	255.5
FBgn0040102	64	8.54913660118897	42
FBgn0040104	197	111.983209409028	222
FBgn0040333	201	166.302815995921	261.25
FBgn0040345	142	26.6664675400267	118.5
FBgn0040551	286	423.957858235479	411.75
FBgn0040629	175	82.5699343548884	186.75
FBgn0040637	127	123.224750245453	183.25
FBgn0040688	219	198.932301187415	299
FBgn0040496	54	10.5926444748633	36.5
FBgn0040705	243	219.610746577895	330.25
FBgn0040733	44	6.20501917563229	23
FBgn0040503	62	7.5976141544952	38.25
FBgn0040775	205	129.163499156477	244.75
FBgn0040734	160	174.236539527003	237.75
FBgn0040786	245	193.087989973186	321.25
FBgn0040907	249	124.383373881209	282
FBgn0040923	211	129.369791645739	250
FBgn0004782	26	17.4996964670045	32.25
FBgn0040931	265	152.047234492759	318.25
FBgn0041623	131	70.7989519968048	145.25
FBgn0042101	151	109.876144205636	187
FBgn0042126	192	91.4834172498088	203.5
FBgn0042086	28	5.89973208208552	17
FBgn0041579	48	8.15699800617402	29.75
FBgn0038745	6	104.465234003052	97.5
FBgn0044048	122	39.4716229305916	115.25
FBgn0042131	232	138.417762705656	272
FBgn0043575	83	86.7909743652176	129
FBgn0050045	45	6.77857200687306	25.5
FBgn0042206	62	35.8889170727482	69.75
FBgn0050050	103	41.3853157096351	107.25
FBgn0050184	275	256.730297059051	375.5
FBgn0050016	147	116.052831095757	190.75
FBgn0047000	44	56.4093723715355	73
FBgn0050379	121	339.910521420436	260.75
FBgn0050401	200	116.018647604934	227.25
FBgn0050461	257	207.058977723662	344.5
FBgn0050462	257	207.058977723662	344.5
FBgn0050485	257	184.183543901958	330.75
FBgn0051139	183	340.884938401513	302
FBgn0050160	33	7.68797509224025	21.5
FBgn0051076	193	51.0355480060869	172
FBgn0051202	133	95.1993843746544	166
FBgn0051219	263	356.414797423718	381.75
FBgn0051300	255	271.4756397123	356.25
FBgn0051779	152	66.271880298665	156.5
FBgn0052055	180	103.893748419669	201.25
FBgn0052069	249	118.472582965207	276
FBgn0052160	211	119.337784862767	239.5
FBgn0052368	93	53.31663087261	109.5
FBgn0052551	244	187.793746986305	315
FBgn0052602	204	146.578006453996	253.75
FBgn0052656	137	35.6381252572344	123.5
FBgn0052726	246	203.658155694308	328.5
FBgn0053170	251	183.065222969518	322.5
FBgn0053299	203	137.781542827909	247.5
FBgn0053530	224	266.080620346498	323.25
FBgn0053965	286	479.852438395482	414.25
FBgn0058354	136	92.1128512174952	167
FBgn0061198	240	114.826457814721	262
FBgn0052580	69	41.0788810648501	80
FBgn0054051	138	71.696549348211	154.5
FBgn0063499	57	10.7015171698983	39.5
FBgn0066084	275	223.972270515268	368.5
FBgn0066293	137	80.7186508507355	160.5
FBgn0069354	48	25.576502940299	49.75
FBgn0083970	283	393.439238689197	402.75
FBgn0083983	224	276.356442652519	326.25
FBgn0085201	234	179.81145279727	300.5
FBgn0067903	62	16.0909710803254	50
FBgn0085209	261	148.327888223086	312.5
FBgn0085237	202	183.78184100316	274.75
FBgn0053223	66	60.9179452102052	93.75
FBgn0085276	94	20.0343201838554	80
FBgn0085279	251	214.89569219286	341.5
FBgn0085330	194	79.3542752864187	198.25
FBgn0085334	120	71.8347598466981	140
FBgn0085358	189	44.7397021327207	165.75
FBgn0085356	87	26.6526030779845	81.5
FBgn0085475	225	90.3116874215356	232.5
FBgn0085766	226	129.228384088125	263.25
FBgn0085772	119	43.5321335894031	117
FBgn0085773	171	93.7715654047093	190.5
FBgn0085599	69	15.5403600421792	55
FBgn0086265	160	179.128275654911	242.25
FBgn0086367	180	184.181758114414	257.25
FBgn0250904	135	131.732226795015	196
FBgn0260225	276	246.291126811174	373.5
FBgn0260455	62	16.0909710803254	50
FBgn0260475	214	385.180415955918	335
FBgn0260479	80	38.3294741610939	87
FBgn0085826	143	70.8813909426178	155.25
FBgn0260932	220	93.8420206778581	229.25
FBgn0260955	103	85.6308944241972	142.25
