gene	degree	betweenness	rank
FBgn0000276	5	0	45.75
FBgn0001281	52	318.717163025156	205.5
FBgn0002868	59	171.021027327964	191.5
FBgn0031886	76	441.573877027335	236
FBgn0031979	68	167.304649457086	199.75
FBgn0032057	31	534.637255562284	200.5
FBgn0032789	45	111.38800022034	163
FBgn0032805	36	1229.15831074773	224.25
FBgn0032483	62	489.268129320663	226.5
FBgn0033340	64	856.68871723458	248
FBgn0033190	57	633.791577688671	233.5
FBgn0033341	68	521.027732293582	235.75
FBgn0002526	9	395.065767523378	154.75
FBgn0002948	27	1036.8371516741	211.5
FBgn0033357	67	170.47729852108	199
FBgn0001086	1	0	15.75
FBgn0033429	64	578.170956194421	239.5
FBgn0033501	14	235.484961796785	144.75
FBgn0033549	43	74.8499427164515	151.5
FBgn0000277	6	1548	173.75
FBgn0032602	18	12.81546798435	102.25
FBgn0033736	56	632.024746933164	232.5
FBgn0033481	42	572.522427035586	214.5
FBgn0034245	45	105.461065739929	159.5
FBgn0001233	1	0	15.75
FBgn0034301	55	177.477964087189	188.5
FBgn0033440	2	263	102
FBgn0034440	5	278.82031334254	126.75
FBgn0033687	50	298.459809908028	200
FBgn0033936	24	218.809583118706	159.75
FBgn0034614	63	2720.52764115524	257.25
FBgn0034442	40	496.638220100057	205.75
FBgn0034646	58	842.830076346062	239.5
FBgn0000351	12	66.3643234009278	106.25
FBgn0034800	78	1068.32433994627	262
FBgn0034924	43	428.922539366712	205
FBgn0034928	73	414.909052596523	232.25
FBgn0034565	8	119.527463161233	110.5
FBgn0035572	3	20.6499890479932	59.5
FBgn0034010	12	34.988515603794	100.75
FBgn0035031	82	508.845445137815	241.5
FBgn0033271	4	263.75	117.75
FBgn0036236	29	1342.94585828321	219
FBgn0033367	4	0	38.75
FBgn0036567	64	626.149935461059	241
FBgn0034957	7	14.2192491572558	81
FBgn0036615	19	924.370101529612	197.25
FBgn0036629	72	383.061704321127	227.75
FBgn0036667	52	163.499887980533	183.5
FBgn0036751	45	257.562944625973	187.5
FBgn0036390	9	9.71387869497582	84.25
FBgn0034687	6	4.84859091449781	67.25
FBgn0035952	17	386.510876138664	169
FBgn0036979	46	647.817280110614	224.75
FBgn0036587	6	0.5	61.25
FBgn0037042	28	257.610904733718	170.5
FBgn0037222	21	76.5297798259615	125.5
FBgn0037970	43	612.985951733951	217.5
FBgn0038148	49	201.356176555087	184.5
FBgn0034330	5	433.027171029181	140.25
FBgn0034785	5	13.4025089241771	69.25
FBgn0036925	22	34.7028624082942	118.75
FBgn0037115	30	108.751391456187	145.5
FBgn0032505	7	855.24856262756	169.5
FBgn0036168	3	263	108.75
FBgn0037464	22	39.1180036660682	120.25
FBgn0037836	7	1.03333333333333	67
FBgn0003356	1	0	15.75
FBgn0038589	11	2086.6497443677	191.25
FBgn0003189	3	0	31.5
FBgn0038448	37	123.861683442361	155
FBgn0039218	77	353.486691993672	228.75
