gene,degree,betweenness,rank
FBgn0000276,12,698.536398772488,173.5
FBgn0000357,10,38.4194486814266,64.5
FBgn0000351,62,100.933790133711,136.25
FBgn0001281,131,154.335927385157,211.25
FBgn0002948,110,296.688483560656,224.25
FBgn0002868,125,184.128681618327,216.5
FBgn0031886,148,184.478518991608,234.75
FBgn0031979,143,188.157539565807,231.75
FBgn0000092,24,31.6187167734596,88
FBgn0032057,102,653.060094781123,244.75
FBgn0003046,25,15.4878003405193,80.5
FBgn0032483,141,269.44632107247,245.75
FBgn0032602,101,180.888808332786,192
FBgn0032789,120,206.249199306187,215.25
FBgn0032805,96,820.214048649156,245
FBgn0032505,26,164.655699029831,138
FBgn0033190,135,363.299720265002,255
FBgn0033340,142,277.244443763381,248
FBgn0033341,138,156.758617975133,216.75
FBgn0002526,10,3.40294079817168,37.5
FBgn0033357,140,153.046260366539,216
FBgn0001086,3,0,10.75
FBgn0033429,158,378.858716650857,274.25
FBgn0033440,20,114.377768470336,116
FBgn0033481,119,389.584198967942,243.25
FBgn0033501,77,253.872663804915,189.5
FBgn0033549,117,90.6087581859722,170.5
FBgn0000277,13,1455.89448345895,180.5
FBgn0033736,115,91.3487505630305,171
FBgn0033936,91,85.9331477420191,150.5
FBgn0033687,125,148.086167544757,204
FBgn0034245,109,96.0462697640053,169.25
FBgn0001233,13,681.856144211999,176
FBgn0033836,17,764.656870110023,187.75
FBgn0034301,119,198.380300134781,212.25
FBgn0034010,50,32.4688063543098,102.25
FBgn0034440,25,4.84219924062811,67.5
FBgn0034330,21,198.815310688094,143.75
FBgn0034454,20,298.127282419846,162
FBgn0034442,117,248.458580419123,217.5
FBgn0034565,47,147.916900607494,143.25
FBgn0034614,138,504.472912950096,269.75
FBgn0000278,5,248.181022656858,117.5
FBgn0034646,149,369.663412424196,268.5
FBgn0034800,152,208.559810958005,244
FBgn0034687,56,19.2218277110234,101.25
FBgn0034924,108,95.3630578418214,167.75
FBgn0033921,4,0,12.5
FBgn0034928,148,238.364183229907,245.75
FBgn0034957,66,87.4461642013379,132
FBgn0034785,50,491.252848681295,199.75
FBgn0035031,151,188.683635839802,239.75
FBgn0032104,2,0.333333333333333,12
FBgn0035572,44,69.830244286714,112
FBgn0033271,9,14.6884859162168,48.25
FBgn0033367,11,20.8924137486229,61.5
FBgn0000279,2,0,7.75
FBgn0035952,80,328.601652288937,206.25
FBgn0036236,114,398.463728391187,239
FBgn0036390,37,96.7013766763189,120.75
FBgn0035496,38,14.7469334383407,85.5
FBgn0036567,145,326.387867930267,259.25
FBgn0036615,86,276.523844941698,201
FBgn0036629,147,223.328205987397,241.75
FBgn0036667,141,230.194687972096,237.25
FBgn0034475,22,6.27135158792752,66.75
FBgn0035581,4,7.69721599963709,30.25
FBgn0036751,124,109.062361403484,191.25
FBgn0036956,15,7.37963047378854,59
FBgn0036563,16,240.20799371012,145.75
FBgn0036979,124,321.202315233203,241.75
FBgn0036925,94,171.891748295,184.75
FBgn0037042,89,456.698785518522,225.25
FBgn0035949,16,116.489602757744,112.75
FBgn0037115,123,425.240442556967,252
FBgn0036587,11,10.2744074436189,51.25
FBgn0037222,82,605.723260917979,226.75
FBgn0037970,117,285.432176918118,224.5
FBgn0037122,64,105.188671050929,138.5
FBgn0038148,119,167.556525650136,201.25
FBgn0035415,28,111.133273207565,124.5
FBgn0038448,114,183.113162178312,201.5
FBgn0036467,5,15.240208296426,39.5
FBgn0036168,14,89.7034790124599,94.5
FBgn0037464,87,70.6768357371541,140.5
FBgn0038977,118,91.2870348287375,173
