gene	degree	betweenness	rank
FBgn0034709	1	0	16
FBgn0039480	2	0	24
FBgn0033730	1	0	16
FBgn0050025	3	0	26
FBgn0051131	1	0	16
FBgn0038789	1	0	16
FBgn0051084	1	0	16
FBgn0260453	1	0	16
FBgn0033308	2	5	33
FBgn0039155	2	5	33
FBgn0039805	2	0	24
FBgn0085599	1	0	16
FBgn0033936	1	0	16
FBgn0050031	3	0	26
FBgn0010358	3	0	26
FBgn0000337	1	0	16
FBgn0037030	1	0	16
FBgn0266691	1	0	16
FBgn0266925	1	0	16
FBgn0033774	1	0	16
FBgn0263442	1	0	16
FBgn0040817	1	0	16
FBgn0051253	1	0	16
FBgn0053463	1	0	16
FBgn0085320	1	0	16
FBgn0260454	1	0	16
FBgn0260479	4	12	37
FBgn0260997	1	0	16
FBgn0262364	1	0	16
FBgn0010359	3	0	26
FBgn0266577	1	0	16
FBgn0266933	1	0	16
FBgn0267985	1	0	16
FBgn0014454	1	0	16
FBgn0022702	1	0	16
FBgn0031301	1	0	16
FBgn0031758	1	0	16
