gene,degree,betweenness,rank
FBgn0001259,47,262.749363164802,150
FBgn0001233,7,7.48476655562911,18.75
FBgn0001311,34,24.5184241835613,92.25
FBgn0002939,19,91.3430705959211,90.5
FBgn0031940,27,81.0382751640279,98.25
FBgn0031925,51,401.322849145735,160.25
FBgn0000337,30,442.993355443928,140.75
FBgn0032109,13,12.9522922128173,40
FBgn0032377,57,265.727564790955,154.75
FBgn0032414,39,320.149268827367,146
FBgn0031942,17,21.2456885904288,59.75
FBgn0032538,57,320.722620400485,158.25
FBgn0033308,44,203.694916591762,142.25
FBgn0033667,43,52.8067943343632,111
FBgn0033730,51,668.932603542934,166.25
FBgn0032639,17,115.779317367367,90.25
FBgn0034394,45,151.301793515288,134.5
FBgn0033774,17,21.4657287152654,60.25
FBgn0034709,52,194.825388834182,149
FBgn0033936,31,538.009952082535,145
FBgn0034098,17,69.8540516570616,77.75
FBgn0034168,13,13.8749677587457,40.5
FBgn0035281,30,16.9234564843007,80.75
FBgn0035398,35,66.165826605955,107.75
FBgn0033623,5,0,7.5
FBgn0034289,7,14.9211327331399,25.25
FBgn0000146,10,21.176360357519,39.25
FBgn0035427,33,77.2828387346603,110.25
FBgn0035429,45,54.6869673146781,114
FBgn0035076,19,121.795943980365,97
FBgn0035308,36,426.951587795906,148
FBgn0036363,1,0,3
FBgn0036080,18,49.9794939596292,74.25
FBgn0035918,9,38.9707888001137,43
FBgn0036417,17,179.170560031138,100.25
FBgn0035921,31,33.021778835759,92.5
FBgn0036585,15,114.03471185353,83.75
FBgn0036597,31,15.2712035541721,82.5
FBgn0036877,24,160.416701764766,107.75
FBgn0036619,38,429.551211557981,150.25
FBgn0035316,21,75.7919417223274,88.75
FBgn0037195,19,204.020588796657,109.5
FBgn0037415,23,283.027235409346,119
FBgn0037419,24,165.400002257022,108.75
FBgn0033724,7,44.268717423679,40.75
FBgn0035143,7,0.250900932365836,12.25
FBgn0035665,13,604.09600269963,106.5
FBgn0036181,12,2.56981637482849,29.5
FBgn0036881,21,2.29966602218304,52.75
FBgn0038203,18,172.767649431006,102.25
FBgn0038511,29,14.8935099501422,74.75
FBgn0036595,26,355.831997400895,128.75
FBgn0038095,36,883.937635210386,154
FBgn0038789,14,27.1607904843831,53.75
FBgn0037030,40,160.395502766835,132
FBgn0038819,24,9.97287967751894,61.75
FBgn0038466,12,87.7943181777676,68
FBgn0039155,47,179.407821629115,144
FBgn0038846,25,229.560296065461,119.75
FBgn0037174,8,83.3183574631695,55.75
FBgn0039052,9,20.7112752701035,35
FBgn0039027,14,0.793675933026771,34.25
FBgn0039217,30,181.732420229493,125.75
FBgn0004782,8,21.524378936165,34.25
FBgn0003950,10,31.6012529932099,44.75
FBgn0004577,46,74.3037073803664,121.25
FBgn0039480,42,70.0762348211919,116.5
FBgn0039805,45,94.5855337214823,126
FBgn0003863,8,180.335009602323,74.75
FBgn0040001,29,15.0586045848908,75.75
FBgn0040637,19,3.42079527024616,51.5
FBgn0040817,49,635.451801452028,164
FBgn0040496,28,94.6522508156926,104.5
FBgn0040060,10,227.932341986094,85.25
FBgn0050025,9,41.9928571428571,44.25
FBgn0004379,24,222.790274376709,116.75
FBgn0042207,10,59.2533533689595,54.75
FBgn0042711,34,56.9973854535319,104.75
FBgn0046258,30,154.630962630318,118.75
FBgn0051055,14,36.5446338576416,57.25
FBgn0051131,27,114.104928798642,105.5
FBgn0051253,27,114.104928798642,105.5
FBgn0052055,42,240.712012010948,144
FBgn0050050,30,324.360833554055,135.25
FBgn0051076,8,4.83026059042907,19.75
FBgn0038850,10,7.08874247470505,27.25
FBgn0050045,4,0,5.75
FBgn0050289,5,10.156128034853,18.5
FBgn0053463,14,27.3767068168056,54.25
FBgn0053551,14,46.2371040488704,61.75
FBgn0065055,1,0,3
FBgn0050401,36,221.091704273797,137
FBgn0053258,14,9.39817013935533,40.75
FBgn0051084,13,20.5572669024748,46
FBgn0052580,30,107.963986148492,111.75
FBgn0062565,14,56.1975982301635,65.25
FBgn0004783,7,0,10.25
FBgn0085485,11,4.66667057474947,28.75
FBgn0004959,11,54.1967933157239,55.75
FBgn0083970,30,476.969369509529,141.25
FBgn0085320,15,30.6087395767915,59.75
FBgn0085599,19,152.47136883756,100.5
FBgn0259713,42,423.945065919959,152.5
FBgn0260453,14,90.2361296885392,75
FBgn0046875,18,2.60660103994331,47.75
FBgn0259715,13,22.6785198635625,49
FBgn0086265,15,62.9726831285189,70.75
FBgn0260997,18,138.162358928878,95.75
FBgn0082997,29,15.3890534960124,76.75
FBgn0260479,39,42.0417209879818,105
FBgn0261401,15,77.9947779698007,76.75
FBgn0261429,47,1123.73402990044,165.5
FBgn0050031,9,41.9928571428571,44.25
FBgn0010358,9,41.9928571428571,44.25
FBgn0250815,12,208.185107214286,89
FBgn0250816,19,77.0621620678105,86.5
FBgn0261930,6,0.902864080218648,12.5
FBgn0262149,15,38.3872666055329,61.75
FBgn0262364,31,556.387358288749,145.5
FBgn0263337,24,441.198558200922,128.25
FBgn0051407,17,13.9151759314684,53.25
