gene,degree,betweenness,rank
FBgn0000003,439,68.2801159079926,212
FBgn0000075,912,738.786951243371,1040.5
FBgn0000247,646,185.655980077692,599.25
FBgn0000279,217,11.3632300153267,24.5
FBgn0000286,557,104.857658265759,365
FBgn0000499,836,561.737716683405,967.75
FBgn0001086,410,76.5997494699944,210
FBgn0000182,621,52.3881615381789,353.5
FBgn0001263,369,50.558398151247,144
FBgn0001281,992,989.922743999093,1093.5
FBgn0002862,630,44.60569433073,347.5
FBgn0002579,504,68.6436581671004,247.75
FBgn0002023,651,328.401516942709,699
FBgn0002868,547,104.633182382112,352.75
FBgn0002924,263,36.7706182176789,89.5
FBgn0002869,606,134.269235170313,492.75
FBgn0002948,403,110.459468508323,276
FBgn0002962,932,877.85661513821,1064.5
FBgn0002865,621,39.1760493479084,322.25
FBgn0003044,744,356.915784985916,829.75
FBgn0031886,784,402.251991729912,885.25
FBgn0031894,461,180.80265389638,392.75
FBgn0031909,568,146.623004547761,445
FBgn0031878,643,61.6713588980317,402.75
FBgn0031914,578,113.646307833586,413.5
FBgn0031947,994,945.474960164652,1091.25
FBgn0031925,264,21.5837122528194,53.25
FBgn0031979,521,67.4344827393727,255.25
FBgn0031972,578,227.379109043557,530.5
FBgn0031980,536,89.9542921915093,313.5
FBgn0031999,312,40.919707282667,107.25
FBgn0032034,587,140.575224306322,470.5
FBgn0032039,674,109.790514827304,543.5
FBgn0032061,614,35.2115252923089,302.5
FBgn0032065,713,115.225058783886,606.75
FBgn0032057,486,58.3805563714967,210.5
FBgn0032072,788,262.128184985614,823.75
FBgn0032086,438,94.6813194927514,263
FBgn0032090,824,385.172734653514,904.5
FBgn0032163,742,397.136075603682,844.75
FBgn0032202,532,108.274388863788,343.5
FBgn0032219,565,32.386798576963,215.5
FBgn0032247,380,53.630390269661,153.75
FBgn0032269,668,70.8079461166728,459
FBgn0032281,772,375.350567681424,861.5
FBgn0032283,569,277.96910779611,548.25
FBgn0032284,513,126.455776306932,365
FBgn0032336,572,160.427231335341,470.25
FBgn0032341,627,228.94138133369,608.75
