gene	degree	betweenness	rank
FBgn0032269	3	3.9	325.25
FBgn0031878	3	86.654644011877	353.75
FBgn0032065	9	5.4	401.5
FBgn0032457	12	3589.35046740652	535.75
FBgn0032471	3	12.9635485438055	334.75
FBgn0032360	8	1785.97658758482	506.25
FBgn0033285	10	3151.46896748096	528
FBgn0002865	28	1461.24197970323	532.5
FBgn0032626	5	3129.01858451102	492.25
FBgn0033279	5	567.586780822226	440.75
FBgn0032563	2	834	364.25
FBgn0033330	15	422.102976514109	480.25
FBgn0032869	5	128.886606664212	406.25
FBgn0033322	7	5277.44931819516	519.25
FBgn0032424	6	3219.24681229088	507
FBgn0032969	5	2028.43970395907	481.75
FBgn0033864	2	1108	373.25
FBgn0032554	2	1	267
FBgn0032650	10	1070.75965735172	495.75
FBgn0033287	3	38.675	344.25
FBgn0033868	14	1142.1855499591	510
FBgn0033969	10	1341.53446559358	505.5
FBgn0032520	5	2805.43776909441	488.25
FBgn0033593	1	0	117
FBgn0032061	2	5.28760233918129	281.25
FBgn0032464	7	1935.47732924457	503.25
FBgn0034467	6	1242.60764900948	480.5
FBgn0000182	3	3.87786796536797	324.5
FBgn0033512	17	527.112136379659	486.5
FBgn0033953	2	278	327.5
FBgn0034144	10	1984.83451959579	516
FBgn0034472	21	1338.34416007782	523.25
FBgn0034840	12	406.155022203583	474.75
FBgn0035197	24	300.702765067753	483.25
FBgn0032664	3	2.5	322
FBgn0032202	2	1	267
FBgn0033357	3	88	355.5
FBgn0032637	2	1380	382.75
FBgn0035161	5	2541.2205788058	486.75
FBgn0033932	1	0	117
FBgn0034173	6	289.302020882919	438.5
FBgn0034816	6	1873.57816883265	493
FBgn0035198	24	300.702765067753	483.25
FBgn0034245	3	16	336.25
FBgn0033286	10	333.088624328845	464
FBgn0036328	1	0	117
FBgn0032072	2	10	287
FBgn0035316	3	12	334
FBgn0034844	1	0	117
FBgn0032385	1	0	117
FBgn0036482	3	2	318.5
FBgn0033340	2	25	296.25
FBgn0000499	1	0	117
FBgn0033203	2	0	195.75
FBgn0033863	2	632.293191308555	354.75
FBgn0034824	5	1114.28525480062	463.75
FBgn0034477	1	0	117
FBgn0035008	1	0	117
FBgn0034104	1	0	117
FBgn0036329	4	836	438.25
FBgn0037101	2	558	350
FBgn0035568	2	2683.80104124974	398.25
FBgn0035617	1	0	117
FBgn0035031	2	133	318.25
FBgn0037454	1	0	117
FBgn0033248	2	10	287
FBgn0034560	2	2	273.5
FBgn0034907	8	765.372305235025	476.25
FBgn0038196	1	0	117
FBgn0037862	4	3015.10364908353	473.25
FBgn0038200	4	771.68847706124	432.75
FBgn0037502	4	836	438.25
FBgn0035915	5	1588.04807853272	475.75
FBgn0035988	3	280	377.25
FBgn0038630	6	155.613729469498	424.25
FBgn0032588	2	280	332.25
FBgn0035082	1	0	117
FBgn0034082	1	0	117
FBgn0035007	1	0	117
FBgn0035005	2	280	332.25
FBgn0036497	5	892.041279309574	458.25
FBgn0038359	2	280	332.25
FBgn0039071	15	623.244045762534	490.25
FBgn0034132	9	3049.72364290366	521
FBgn0031886	1	0	117
FBgn0032374	2	28	297.5
FBgn0038210	2	18	292.5
FBgn0031980	2	0	195.75
FBgn0035971	10	301.227350331622	462
FBgn0039366	11	381.546556578189	470.75
FBgn0032312	3	0	240.75
FBgn0034459	4	1951.43222211774	463.75
FBgn0036784	12	1210.53714728531	508.25
FBgn0038423	7	3659.81890012493	517.75
FBgn0032090	2	0	195.75
FBgn0037826	4	80.6791983427427	380.25
FBgn0038486	3	314.833833543201	383.25
FBgn0039190	13	544.503995730914	481
FBgn0004171	16	3096.88558308087	540
FBgn0032039	1	0	117
FBgn0036438	4	836	438.25
FBgn0038209	1	0	117
FBgn0038355	5	653.98654296484	444.75
FBgn0039707	6	2237.09254735351	498.5
FBgn0033190	1	0	117
FBgn0038144	6	201.833333333333	426
FBgn0039104	21	871.091799796204	511.75
FBgn0037985	16	590.087176196209	490
FBgn0038163	4	1.19404761904762	342.75
FBgn0034646	1	0	117
FBgn0034454	1	0	117
FBgn0036877	1	0	117
FBgn0036118	3	10	332
FBgn0035423	3	71	352.25
FBgn0036311	7	146.061839601732	432.75
FBgn0004175	14	597.114747493088	487
FBgn0039088	5	3102.77774015183	491.75
FBgn0004173	1	0	117
FBgn0040068	4	125	388.5
FBgn0040859	2	0	195.75
FBgn0035823	10	6.07018295954946	409
FBgn0038694	7	702.019707337979	470.25
FBgn0040963	19	230.686879199183	466.5
FBgn0039792	4	764.403664214562	431.75
FBgn0004172	5	220.179198342742	414
FBgn0033860	5	637.377933057529	444.25
FBgn0034826	3	120.022772889685	360.25
FBgn0032519	1	0	117
FBgn0050364	3	1	312
FBgn0050363	1	0	117
FBgn0033888	1	0	117
FBgn0039373	1	0	117
FBgn0040519	13	102.818981622133	445
FBgn0041102	11	136.092625782626	448.25
FBgn0037988	3	554	394
FBgn0033250	2	2	273.5
FBgn0003598	2	0	195.75
FBgn0050461	3	0.5	308.5
FBgn0037222	1	0	117
FBgn0033862	1	0	117
FBgn0034105	6	2949.15949833173	503
FBgn0045770	9	227.811615423828	445.5
FBgn0004174	2	58.6719384459615	302.75
FBgn0046332	6	1531.68896313299	489
FBgn0037388	4	1246.80989963846	450.75
FBgn0038208	2	1	267
FBgn0040371	4	0	268.25
FBgn0046294	18	1208.80766527379	516.5
FBgn0037860	2	280	332.25
FBgn0034127	1	0	117
FBgn0034842	3	622.800932104077	398.75
FBgn0033861	4	507.500000000003	419.25
FBgn0051327	3	1339.74788967541	425.75
FBgn0050369	3	559	395.75
FBgn0036014	1	0	117
FBgn0035069	1	0	117
FBgn0034882	2	2	273.5
FBgn0050365	3	1	312
FBgn0035786	6	671.736526297716	459.5
FBgn0039797	3	133.612984190085	364.25
FBgn0035709	2	18	292.5
FBgn0052010	3	0.5	308.5
FBgn0050376	16	61.8726522133053	441.5
FBgn0051542	20	816.63638292784	502.75
FBgn0051740	10	1382.66868325837	507.5
FBgn0051029	6	183.904783192968	425
FBgn0034614	3	23	339
FBgn0040754	3	23	339
FBgn0037336	3	3	323.25
FBgn0004378	1	0	117
FBgn0052026	5	1.08975256769374	358.75
FBgn0046793	3	0	240.75
FBgn0036162	2	0	195.75
FBgn0051639	11	1345.64584221091	510.25
FBgn0052298	1	0	117
FBgn0051624	1	0	117
FBgn0052119	12	81.1429578294204	439.25
FBgn0051141	6	96.3654807319395	414.5
FBgn0038123	1	0	117
FBgn0033954	1	0	117
FBgn0034129	5	280	421.25
FBgn0039367	11	381.546556578189	470.75
FBgn0051870	3	0	240.75
FBgn0034827	3	69.3137400937692	351.25
FBgn0037040	1	0	117
FBgn0039518	3	58.7410907461863	348.25
FBgn0050039	6	3094.01589192623	504.5
FBgn0052371	15	52.1539041225481	437.25
FBgn0002862	4	470.670202977875	418.75
FBgn0040996	3	1142.10831694621	420.25
FBgn0051294	4	22.485589474016	365.75
