gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO
1	FBgn0000075	431.247595916205	0.688828907688093	0.129515472132724	5.31850671078278	1.04622362028757e-07	4.14186194132762e-05	1	amd	alpha methyl dopa-resistant	FBgn0000075	NM_057244	35188	GO:0004058|GO:0004058|GO:0005737|GO:0006520|GO:0006584|GO:0006584|GO:0016831|GO:0016831|GO:0016831|GO:0019239|GO:0030170|GO:0036468|GO:0040003|GO:0042335|GO:0042424
2	FBgn0000097	1989.56800551454	0.284860220888979	0.0852628491850372	3.34096530448773	0.000834876553446869	0.0309929863895474	1	aop	anterior open	FBgn0000097	NM_001272979	33392	GO:0000122|GO:0000122|GO:0000977|GO:0000978|GO:0000981|GO:0000981|GO:0001227|GO:0001709|GO:0003677|GO:0005515|GO:0005634|GO:0005634|GO:0005634|GO:0005634|GO:0005654|GO:0005829|GO:0005829|GO:0006357|GO:0006897|GO:0007173|GO:0007298|GO:0007391|GO:0007464|GO:0008340|GO:0008340|GO:0008406|GO:0008543|GO:0008543|GO:0010628|GO:0010629|GO:0019904|GO:0030154|GO:0035155|GO:0035157|GO:0045500|GO:0045500|GO:0045500|GO:0045677|GO:0045677|GO:0045892|GO:0048010|GO:0050767|GO:0055001|GO:0060233|GO:0090090|GO:0090175|GO:0110118|GO:1903688
3	FBgn0000121	340640.952247106	-0.337019468691005	0.0760839439523525	-4.42957411490212	9.44193609995006e-06	0.001341753848242	-1	Arr2	Arrestin 2	FBgn0000121	NM_079252	38993	GO:0001664|GO:0002031|GO:0002032|GO:0002046|GO:0005515|GO:0005737|GO:0005737|GO:0007605|GO:0007608|GO:0016028|GO:0016029|GO:0016059|GO:0016059|GO:0016060|GO:0016060|GO:0016062|GO:0045494
4	FBgn0000163	7033.90008028731	0.324515834908246	0.0534839982705716	6.06753132528621	1.29891289328137e-09	9.31320544482745e-07	1	baz	bazooka	FBgn0000163	NM_001042818	32703	GO:0000226|GO:0003401|GO:0005515|GO:0005912|GO:0005912|GO:0005914|GO:0005915|GO:0005938|GO:0007155|GO:0007294|GO:0007298|GO:0007299|GO:0007314|GO:0007377|GO:0007416|GO:0008104|GO:0008594|GO:0016324|GO:0016324|GO:0016325|GO:0030010|GO:0030709|GO:0034332|GO:0035089|GO:0035091|GO:0035091|GO:0043296|GO:0043296|GO:0045167|GO:0045176|GO:0045186|GO:0045197|GO:0045197|GO:0051490|GO:0051660|GO:0055059|GO:0055059|GO:0060446|GO:0070300|GO:0072002|GO:0090175|GO:0090175|GO:0098592
5	FBgn0000337	75.466972396837	-1.23531473104937	0.333854310998744	-3.7001610892903	0.000215462652627534	0.0128145667963639	-1	cn	cinnabar	FBgn0000337	NM_078927	35724	GO:0004502|GO:0004502|GO:0004502|GO:0005741|GO:0005741|GO:0006569|GO:0006569|GO:0006727|GO:0016174|GO:0019674|GO:0019674|GO:0019805|GO:0048072|GO:0050660|GO:0070189|GO:0070189|GO:0071949|GO:1901216
6	FBgn0000451	38.285772113839	1.19654287228336	0.352198673506605	3.39735201263022	0.000680413790032855	0.0272714918452299	1	ect	ectodermal	FBgn0000451	NM_001274748	44135	GO:0003674|GO:0005575|GO:0035295|GO:0042335
7	FBgn0000497	361.520804699442	0.645194596452984	0.19639849868604	3.28512998199841	0.00101935333983435	0.0346204584313215	1	NA	NA	FBgn0000497	NA	NA	NA
8	FBgn0000658	68.2843227547382	1.06079524302236	0.291579526623802	3.63809920163224	0.000274657639458215	0.015209152834748	1	fj	four-jointed	FBgn0000658	NM_058135	37089	GO:0001736|GO:0001736|GO:0001737|GO:0004672|GO:0005615|GO:0005737|GO:0005886|GO:0006468|GO:0007267|GO:0007267|GO:0007267|GO:0007267|GO:0007446|GO:0007474|GO:0016348|GO:0017147|GO:0035159|GO:0043393|GO:0090175|GO:0090175
9	FBgn0001128	15682.0232282159	0.50548398149966	0.153300830338339	3.29733361772434	0.000976074861512922	0.0336908485455196	1	Gpdh1	Glycerol-3-phosphate dehydrogenase 1	FBgn0001128	NM_001273182	33824	GO:0004367|GO:0004367|GO:0005829|GO:0005829|GO:0005975|GO:0006067|GO:0006072|GO:0006116|GO:0006641|GO:0006734|GO:0007629|GO:0009331|GO:0030018|GO:0031430|GO:0042803|GO:0046168|GO:0051287|GO:0055093
10	FBgn0001253	411.006083207416	0.685239650354988	0.140539924717204	4.87576503071161	1.08387564359863e-06	0.000247584321268215	1	ImpE1	Ecdysone-inducible gene E1	FBgn0001253	NM_001274648	45879	GO:0003674|GO:0007561|GO:0019898
